Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2279,Aitor Ruibal,es,FW,MF,Betis,La Liga,24,1996,17.7,2,33,14,42.4,1.86,0.79,0.06,0.14,17.9,0,0,0,2.9,2.9,0.09,-0.9,-0.9,Matches
2280,Isma Ruiz,es,MF,,Granada,La Liga,19,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2281,Kays Ruiz,fr,FW,MF,Paris S-G,Ligue 1,17,2002,2.1,0,2,0,0.0,0.97,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2282,Fabián Ruiz Peña,es,MF,,Napoli,Serie A,24,1996,28.5,3,43,15,34.9,1.51,0.53,0.07,0.20,22.5,1,0,0,2.0,2.0,0.05,+1.0,+1.0,Matches
2283,Víctor Ruiz,es,DF,,Betis,La Liga,31,1989,24.0,2,4,4,100.0,0.17,0.17,0.50,0.50,11.5,0,0,0,1.5,1.5,0.38,+0.5,+0.5,Matches
2284,Gerónimo Rulli,ar,GK,,Villarreal,La Liga,28,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2285,Georginio Rutter,fr,FW,MF,Rennes,Ligue 1,18,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2286,Georginio Rutter,fr,FW,,Hoffenheim,Bundesliga,18,2002,2.7,1,6,3,50.0,2.24,1.12,0.17,0.33,15.7,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
2287,Mathew Ryan,au,GK,,Arsenal,Premier League,28,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2288,Mathew Ryan,au,GK,,Brighton,Premier League,28,1992,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2289,Julian Ryerson,no,DF,MF,Union Berlin,Bundesliga,22,1997,11.9,0,6,0,0.0,0.51,0.00,0.00,,22.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2290,Frederik Rønnow,dk,GK,,Schalke 04,Bundesliga,27,1992,10.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2291,Roli Pereira de Sa,fr,FW,MF,Nantes,Ligue 1,23,1996,0.6,0,4,0,0.0,6.43,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2292,Victor Sá,br,FW,,Wolfsburg,Bundesliga,26,1994,5.2,1,10,2,20.0,1.92,0.38,0.10,0.50,17.4,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
2293,Idriss Saadi,dz,MF,FW,Strasbourg,Ligue 1,28,1992,1.4,0,6,3,50.0,4.32,2.16,0.00,0.00,11.0,0,0,0,1.7,1.7,0.28,-1.7,-1.7,Matches
2294,Youssouf Sabaly,sn,DF,,Bordeaux,Ligue 1,27,1993,32.3,1,13,2,15.4,0.40,0.06,0.08,0.50,21.9,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
2295,Mathys Saban,fr,FW,,Saint-Étienne,Ligue 1,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2296,Marcel Sabitzer,at,MF,,RB Leipzig,Bundesliga,26,1994,22.5,8,56,22,39.3,2.49,0.98,0.07,0.18,25.1,5,4,4,7.6,4.4,0.08,+0.4,-0.4,Matches
2297,Alexis Saelemaekers,be,FW,,Milan,Serie A,21,1999,22.4,2,28,7,25.0,1.25,0.31,0.07,0.29,18.4,0,0,0,2.4,2.4,0.09,-0.4,-0.4,Matches
2298,Modibo Sagnan,ml,DF,,Real Sociedad,La Liga,21,1999,6.9,0,5,1,20.0,0.72,0.14,0.00,0.00,23.4,1,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
2299,Allan Saint-Maximin,fr,FW,MF,Newcastle Utd,Premier League,23,1997,17.3,3,30,12,40.0,1.73,0.69,0.10,0.25,20.8,0,0,0,2.6,2.6,0.09,+0.4,+0.4,Matches
2300,Borja Sainz,es,MF,FW,Alavés,La Liga,19,2001,5.0,1,7,4,57.1,1.39,0.79,0.14,0.25,17.0,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Matches
2301,Romain Saïss,ma,DF,,Wolves,Premier League,30,1990,26.7,3,28,11,39.3,1.05,0.41,0.11,0.27,13.4,2,0,0,3.0,3.0,0.11,0.0,0.0,Matches
2302,Bukayo Saka,eng,FW,MF,Arsenal,Premier League,18,2001,28.4,5,61,20,32.8,2.15,0.71,0.08,0.25,16.1,1,0,0,6.9,6.9,0.11,-1.9,-1.9,Matches
2303,Hiroki Sakai,jp,DF,,Marseille,Ligue 1,30,1990,26.5,0,3,1,33.3,0.11,0.04,0.00,0.00,7.9,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches
2304,Moïse Sakava,cm,MF,,Reims,Ligue 1,19,2000,0.1,0,1,0,0.0,11.25,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
2305,Mamadou Sakho,fr,DF,,Crystal Palace,Premier League,30,1990,3.1,0,1,0,0.0,0.33,0.00,0.00,,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
2306,Jacopo Sala,it,DF,,Spezia,Serie A,28,1991,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2307,Mohamed Salah,eg,FW,,Liverpool,Premier League,28,1992,34.2,22,120,46,38.3,3.51,1.35,0.13,0.35,16.4,1,6,6,19.3,14.6,0.12,+2.7,+1.4,Matches
2308,Eddie Salcedo,it,MF,FW,Hellas Verona,Serie A,18,2001,8.4,2,22,10,45.5,2.62,1.19,0.09,0.20,15.0,0,0,0,3.9,3.9,0.18,-1.9,-1.9,Matches
2309,William Saliba,fr,DF,,Nice,Ligue 1,19,2001,20.0,1,6,1,16.7,0.30,0.05,0.17,1.00,9.8,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches
2310,Romain Salin,fr,GK,,Rennes,Ligue 1,36,1984,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2311,Mohammed Salisu,gh,DF,,Southampton,Premier League,21,1999,9.4,0,4,1,25.0,0.43,0.11,0.00,0.00,12.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
2312,Roland Sallai,hu,MF,FW,Freiburg,Bundesliga,23,1997,18.5,8,46,19,41.3,2.49,1.03,0.15,0.37,16.7,3,1,1,6.4,5.6,0.12,+1.6,+1.4,Matches
2313,Salvi,es,MF,FW,Cádiz,La Liga,29,1991,21.5,2,17,5,29.4,0.79,0.23,0.12,0.40,19.2,0,0,0,2.0,2.0,0.12,0.0,0.0,Matches
2314,Lazar Samardzic,rs,MF,,RB Leipzig,Bundesliga,18,2002,2.2,0,1,0,0.0,0.45,0.00,0.00,,29.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
2315,Diadie Samassékou,ml,MF,,Hoffenheim,Bundesliga,24,1996,28.5,0,16,0,0.0,0.56,0.00,0.00,,25.6,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
2316,Mama Samba Baldé,gw,FW,,Dijon,Ligue 1,24,1995,24.0,7,58,19,32.8,2.42,0.79,0.12,0.37,15.2,0,0,0,8.1,8.1,0.14,-1.1,-1.1,Matches
2317,Junior Sambia,fr,DF,MF,Montpellier,Ligue 1,23,1996,27.2,1,18,7,38.9,0.66,0.26,0.06,0.14,22.5,5,0,0,1.0,1.0,0.06,0.0,0.0,Matches
2318,Frédéric Sammaritano,fr,FW,MF,Dijon,Ligue 1,34,1986,12.6,0,10,2,20.0,0.80,0.16,0.00,0.00,18.7,1,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
2319,Fede San Emeterio,es,MF,,Valladolid,La Liga,23,1997,16.2,0,3,0,0.0,0.18,0.00,0.00,,22.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2320,Antonio Sanabria,py,FW,,Torino,Serie A,24,1996,10.9,5,20,11,55.0,1.84,1.01,0.25,0.45,14.9,0,0,0,3.3,3.3,0.16,+1.7,+1.7,Matches
2321,Antonio Sanabria,py,FW,,Betis,La Liga,24,1996,10.4,3,25,12,48.0,2.41,1.16,0.12,0.25,11.7,0,0,0,5.0,5.0,0.20,-2.0,-2.0,Matches
2322,Oihan Sancet,es,FW,MF,Athletic Club,La Liga,20,2000,11.5,2,18,6,33.3,1.57,0.52,0.11,0.33,12.7,0,0,0,2.8,2.8,0.16,-0.8,-0.8,Matches
2323,Renato Sanches,pt,MF,,Lille,Ligue 1,22,1997,14.1,1,21,3,14.3,1.49,0.21,0.05,0.33,24.1,2,0,0,2.4,2.4,0.12,-1.4,-1.4,Matches
2324,Ricard Sánchez,es,DF,,Atlético Madrid,La Liga,20,2000,0.3,0,1,0,0.0,3.00,0.00,0.00,,17.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
2325,Alexis Sánchez,cl,FW,,Inter,Serie A,31,1988,12.7,7,28,15,53.6,2.20,1.18,0.25,0.47,16.5,4,0,1,6.4,5.6,0.20,+0.6,+1.4,Matches
2326,Davinson Sánchez,co,DF,,Tottenham,Premier League,24,1996,16.5,0,5,0,0.0,0.30,0.00,0.00,,10.1,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
2327,Germán Sánchez,es,DF,,Granada,La Liga,33,1986,29.3,3,13,5,38.5,0.44,0.17,0.23,0.60,9.3,0,0,0,2.3,2.3,0.17,+0.7,+0.7,Matches
2328,Javi Sánchez,es,DF,,Valladolid,La Liga,23,1997,10.2,0,3,0,0.0,0.29,0.00,0.00,,10.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
2329,Manu Sánchez,es,DF,,Osasuna,La Liga,19,2000,10.8,0,3,1,33.3,0.28,0.09,0.00,0.00,18.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2330,Manu Sánchez,es,DF,,Atlético Madrid,La Liga,19,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2331,Juan Sánchez Miño,ar,DF,MF,Elche,La Liga,30,1990,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2332,Pepe Sánchez,es,DF,,Granada,La Liga,20,2000,2.8,0,1,0,0.0,0.36,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
2333,Robert Sánchez,es,GK,,Brighton,Premier League,22,1997,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2334,Jadon Sancho,eng,FW,MF,Dortmund,Bundesliga,20,2000,22.9,8,51,16,31.4,2.23,0.70,0.14,0.44,16.8,2,1,1,6.6,5.8,0.11,+1.4,+1.2,Matches
2335,Alex Sandro,br,DF,,Juventus,Serie A,29,1991,20.6,2,13,3,23.1,0.63,0.15,0.15,0.67,13.4,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches
2336,Leroy Sané,de,FW,MF,Bayern Munich,Bundesliga,24,1996,20.1,6,57,20,35.1,2.84,1.00,0.11,0.30,19.2,0,0,0,5.4,5.4,0.09,+0.6,+0.6,Matches
2337,Salif Sané,sn,DF,,Schalke 04,Bundesliga,29,1990,11.9,0,7,1,14.3,0.59,0.08,0.00,0.00,15.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
2338,Oier Sanjurjo,es,MF,,Osasuna,La Liga,34,1986,23.2,0,16,4,25.0,0.69,0.17,0.00,0.00,15.9,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
2339,Mohamed Sankoh,nl,MF,,Stuttgart,Bundesliga,16,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2340,Siriki Sanogo,ci,MF,,Benevento,Serie A,18,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2341,Morgan Sanson,fr,MF,,Aston Villa,Premier League,25,1994,3.3,0,2,0,0.0,0.61,0.00,0.00,,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
2342,Morgan Sanson,fr,MF,,Marseille,Ligue 1,25,1994,9.2,2,11,3,27.3,1.20,0.33,0.18,0.67,20.3,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
2343,Nicola Sansone,it,FW,MF,Bologna,Serie A,28,1991,13.0,2,31,13,41.9,2.39,1.00,0.06,0.15,18.1,3,0,0,3.9,3.9,0.13,-1.9,-1.9,Matches
2344,Baptiste Santamaria,fr,MF,,Angers,Ligue 1,25,1995,3.0,0,4,3,75.0,1.33,1.00,0.00,0.00,27.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2345,Baptiste Santamaria,fr,MF,,Freiburg,Bundesliga,25,1995,24.5,1,29,8,27.6,1.18,0.33,0.03,0.13,23.2,0,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
2346,Federico Santander,py,FW,,Bologna,Serie A,29,1991,0.4,0,4,0,0.0,9.73,0.00,0.00,,17.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
2347,Davide Santon,it,DF,,Roma,Serie A,29,1991,6.5,0,5,0,0.0,0.77,0.00,0.00,,15.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
2348,Samir Santos,br,DF,,Udinese,Serie A,25,1994,24.6,1,11,3,27.3,0.45,0.12,0.09,0.33,11.1,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
2349,Riccardo Saponara,it,MF,,Fiorentina,Serie A,28,1991,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2350,Riccardo Saponara,it,FW,MF,Spezia,Serie A,28,1991,4.3,2,10,4,40.0,2.31,0.93,0.20,0.50,14.1,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
2351,Ivan Šaponjić,rs,FW,,Cádiz,La Liga,22,1997,4.3,1,10,5,50.0,2.32,1.16,0.00,0.00,11.1,0,1,1,2.2,1.4,0.14,-1.2,-1.4,Matches
2352,Pablo Sarabia,es,FW,MF,Paris S-G,Ligue 1,28,1992,14.7,6,37,19,51.4,2.52,1.30,0.16,0.32,14.6,2,0,0,5.3,5.3,0.14,+0.7,+0.7,Matches
2353,Josh Sargent,us,FW,MF,Werder Bremen,Bundesliga,20,2000,27.8,5,44,20,45.5,1.58,0.72,0.11,0.25,15.3,0,0,0,5.5,5.5,0.13,-0.5,-0.5,Matches
2354,Bouna Sarr,sn,DF,,Marseille,Ligue 1,28,1992,0.8,0,1,0,0.0,1.18,0.00,0.00,,27.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
2355,Bouna Sarr,sn,DF,,Bayern Munich,Bundesliga,28,1992,5.0,0,3,0,0.0,0.60,0.00,0.00,,30.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
2356,Sidy Sarr,sn,MF,,Nîmes,Ligue 1,24,1996,5.1,0,9,1,11.1,1.75,0.19,0.00,0.00,23.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
2357,Marco Sau,it,MF,FW,Benevento,Serie A,32,1987,8.7,4,10,5,50.0,1.15,0.57,0.30,0.60,17.3,1,1,1,2.4,1.6,0.16,+1.6,+1.4,Matches
2358,Téji Savanier,fr,MF,,Montpellier,Ligue 1,28,1991,24.1,5,52,17,32.7,2.16,0.71,0.06,0.18,26.4,11,2,4,5.9,2.8,0.05,-0.9,+0.2,Matches
2359,Stefan Savić,me,DF,,Atlético Madrid,La Liga,29,1991,32.8,1,7,2,28.6,0.21,0.06,0.14,0.50,5.7,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches
2360,Romaine Sawyers,kn,MF,,West Brom,Premier League,28,1991,16.5,0,4,0,0.0,0.24,0.00,0.00,,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2361,Gianluca Scamacca,it,FW,,Genoa,Serie A,21,1999,15.0,8,45,16,35.6,3.00,1.07,0.13,0.38,17.6,1,2,2,7.9,6.3,0.14,+0.1,-0.3,Matches
2362,Dane Scarlett,eng,FW,,Tottenham,Premier League,16,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2363,Fabian Schär,ch,DF,,Newcastle Utd,Premier League,28,1991,13.8,1,11,4,36.4,0.79,0.29,0.00,0.00,27.8,3,1,1,1.3,0.5,0.05,-0.3,-0.5,Matches
2364,Aurélien Scheidler,fr,FW,,Dijon,Ligue 1,22,1998,3.8,1,8,2,25.0,2.11,0.53,0.13,0.50,17.6,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
2365,Nicolás Schiappacasse,uy,MF,,Sassuolo,Serie A,21,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2366,Pasquale Schiattarella,it,MF,,Benevento,Serie A,33,1987,25.0,1,11,6,54.5,0.44,0.24,0.09,0.17,15.6,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
2367,Patrik Schick,cz,FW,,Leverkusen,Bundesliga,24,1996,20.7,9,56,21,37.5,2.70,1.01,0.16,0.43,12.1,1,0,0,9.2,9.2,0.16,-0.2,-0.2,Matches
2368,Sven Schipplock,de,FW,MF,Arminia,Bundesliga,31,1988,8.3,1,15,5,33.3,1.81,0.60,0.07,0.20,16.3,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
2369,Xaver Schlager,at,MF,,Wolfsburg,Bundesliga,22,1997,29.2,2,48,4,8.3,1.65,0.14,0.04,0.50,22.1,0,0,0,3.1,3.1,0.06,-1.1,-1.1,Matches
2370,Keven Schlotterbeck,de,DF,,Freiburg,Bundesliga,23,1997,18.4,0,7,1,14.3,0.38,0.05,0.00,0.00,16.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
2371,Nico Schlotterbeck,de,DF,,Union Berlin,Bundesliga,20,1999,14.3,1,22,7,31.8,1.54,0.49,0.05,0.14,12.3,0,0,0,2.3,2.3,0.10,-1.3,-1.3,Matches
2372,Jeffrey Schlupp,gh,MF,,Crystal Palace,Premier League,27,1992,15.9,2,18,10,55.6,1.13,0.63,0.11,0.20,14.3,0,0,0,1.9,1.9,0.11,+0.1,+0.1,Matches
2373,Kasper Schmeichel,dk,GK,,Leicester City,Premier League,33,1986,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2374,Jonathan Schmid,fr,MF,DF,Freiburg,Bundesliga,30,1990,26.6,2,21,9,42.9,0.79,0.34,0.10,0.22,21.6,6,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches
2375,Romano Schmid,at,MF,FW,Werder Bremen,Bundesliga,20,2000,13.1,0,18,3,16.7,1.38,0.23,0.00,0.00,23.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
2376,Benno Schmitz,de,DF,,Köln,Bundesliga,25,1994,4.6,0,4,1,25.0,0.87,0.22,0.00,0.00,16.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2377,Morgan Schneiderlin,fr,MF,,Nice,Ligue 1,30,1989,24.4,0,10,3,30.0,0.41,0.12,0.00,0.00,18.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
2378,Alessandro Schöpf,at,FW,MF,Schalke 04,Bundesliga,26,1994,10.5,0,10,1,10.0,0.96,0.10,0.00,0.00,21.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
2379,Jerdy Schouten,nl,MF,,Bologna,Serie A,23,1997,27.9,1,9,4,44.4,0.32,0.14,0.11,0.25,28.7,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
2380,Nico Schulz,de,DF,,Dortmund,Bundesliga,27,1993,6.8,0,2,0,0.0,0.30,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2381,Alexander Schwolow,de,GK,,Hertha BSC,Bundesliga,28,1992,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2382,Christopher Scott,de,MF,FW,Bayern Munich,Bundesliga,18,2002,0.4,0,1,0,0.0,2.65,0.00,0.00,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
2383,Matteo Scozzarella,it,MF,,Parma,Serie A,32,1988,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2384,Simone Scuffet,it,GK,,Udinese,Serie A,24,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2385,Jacopo Segre,it,MF,,Torino,Serie A,23,1997,2.1,0,4,1,25.0,1.88,0.47,0.00,0.00,16.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
2386,Davie Selke,de,FW,,Werder Bremen,Bundesliga,25,1995,9.0,3,27,12,44.4,2.99,1.33,0.07,0.17,13.7,0,1,1,3.7,2.9,0.11,-0.7,-0.9,Matches
2387,Malik Sellouki,fr,FW,MF,Nice,Ligue 1,20,2000,0.7,1,4,1,25.0,5.45,1.36,0.25,1.00,18.8,1,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
2388,Matz Sels,be,GK,,Strasbourg,Ligue 1,28,1992,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2389,Nélson Semedo,pt,DF,MF,Wolves,Premier League,26,1993,33.1,1,23,11,47.8,0.69,0.33,0.04,0.09,21.2,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
2390,Léo Sena,br,MF,,Spezia,Serie A,24,1995,9.8,0,2,0,0.0,0.20,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2391,Stefano Sensi,it,MF,,Inter,Serie A,24,1995,6.7,0,18,7,38.9,2.69,1.04,0.00,0.00,21.9,1,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
2392,Jaime Seoane,es,MF,,Huesca,La Liga,23,1997,22.9,1,24,9,37.5,1.05,0.39,0.04,0.11,21.8,0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
2393,Luigi Sepe,it,GK,,Parma,Serie A,29,1991,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2394,Suat Serdar,de,MF,,Schalke 04,Bundesliga,23,1997,21.7,1,32,9,28.1,1.47,0.41,0.03,0.11,20.4,0,0,0,2.1,2.1,0.07,-1.1,-1.1,Matches
2395,Jean Seri,ci,MF,,Bordeaux,Ligue 1,29,1991,7.9,0,4,0,0.0,0.51,0.00,0.00,,24.1,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2396,Femi Seriki,eng,MF,,Sheffield Utd,Premier League,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2397,Ryan Sessegnon,eng,DF,FW,Hoffenheim,Bundesliga,20,2000,17.5,2,5,2,40.0,0.29,0.11,0.40,1.00,11.5,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Matches
2398,Nils Seufert,de,MF,FW,Arminia,Bundesliga,23,1997,3.8,0,1,0,0.0,0.26,0.00,0.00,,18.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
2399,Edgar Sevikyan,am,MF,,Levante,La Liga,18,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2400,Stephan El Shaarawy,it,MF,FW,Roma,Serie A,27,1992,6.4,1,16,7,43.8,2.52,1.10,0.06,0.14,18.0,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
2401,Jamie Shackleton,eng,MF,DF,Leeds United,Premier League,20,1999,5.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2402,Xherdan Shaqiri,ch,MF,FW,Liverpool,Premier League,28,1991,6.2,0,11,0,0.0,1.78,0.00,0.00,,22.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
2403,Billy Sharp,eng,FW,,Sheffield Utd,Premier League,34,1986,8.2,3,7,4,57.1,0.86,0.49,0.14,0.25,16.5,0,2,2,3.0,1.5,0.21,0.0,-0.5,Matches
2404,Luke Shaw,eng,DF,,Manchester Utd,Premier League,25,1995,29.5,1,11,6,54.5,0.37,0.20,0.09,0.17,17.3,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
2405,Jonjo Shelvey,eng,MF,,Newcastle Utd,Premier League,28,1992,29.1,1,42,9,21.4,1.44,0.31,0.02,0.11,24.3,11,0,0,2.5,2.5,0.06,-1.5,-1.5,Matches
2406,Eldor Shomurodov,uz,FW,,Genoa,Serie A,25,1995,18.6,8,39,17,43.6,2.09,0.91,0.21,0.47,14.5,0,0,0,5.7,5.7,0.15,+2.3,+2.3,Matches
2407,Shola Shoretire,eng,FW,,Manchester Utd,Premier League,16,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2408,Mahame Siby,ml,MF,,Strasbourg,Ligue 1,24,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2409,Abdoulaye Sidibé,fr,MF,,Saint-Étienne,Ligue 1,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2410,Djibril Sidibé,fr,DF,,Monaco,Ligue 1,28,1992,22.0,0,5,1,20.0,0.23,0.05,0.00,0.00,30.6,3,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2411,Sidnei,br,DF,,Betis,La Liga,30,1989,7.7,0,1,0,0.0,0.13,0.00,0.00,,4.7,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
2412,Kaj Sierhuis,nl,FW,MF,Reims,Ligue 1,22,1998,7.2,0,14,3,21.4,1.93,0.41,0.00,0.00,16.4,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
2413,Tim Siersleben,de,DF,,Wolfsburg,Bundesliga,20,2000,0.4,0,1,0,0.0,2.65,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
2414,Gylfi Sigurðsson,is,MF,FW,Everton,Premier League,30,1989,25.0,6,45,13,28.9,1.80,0.52,0.07,0.23,22.8,7,3,4,6.5,3.4,0.07,-0.5,-0.4,Matches
2415,Luca Siligardi,it,MF,FW,Crotone,Serie A,32,1988,0.5,0,2,1,50.0,3.67,1.84,0.00,0.00,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2416,Luca Siligardi,it,FW,MF,Parma,Serie A,32,1988,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2417,Adrien Silva,pt,MF,,Sampdoria,Serie A,31,1989,17.8,1,6,1,16.7,0.34,0.06,0.17,1.00,23.5,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
2418,André Silva,pt,FW,,Eint Frankfurt,Bundesliga,24,1995,30.7,28,110,53,48.2,3.59,1.73,0.19,0.40,13.3,3,7,7,25.6,20.1,0.19,+2.4,+0.9,Matches
2419,Bernardo Silva,pt,MF,FW,Manchester City,Premier League,25,1994,22.9,2,28,13,46.4,1.22,0.57,0.07,0.15,14.9,0,0,0,2.8,2.8,0.10,-0.8,-0.8,Matches
