Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Ismael Aaneba,fr,DF,,Strasbourg,Ligue 1,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Patrick van Aanholt,nl,DF,,Crystal Palace,Premier League,29,1990,19.7,0,18,5,27.8,0.91,0.25,0.00,0.00,21.1,3,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
3,Yunis Abdelhamid,ma,DF,,Reims,Ligue 1,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.20,0.60,10.5,0,0,0,1.9,1.9,0.13,+1.1,+1.1,Matches
4,Sabit Abdulai,gh,MF,,Getafe,La Liga,21,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Mehdi Abeid,dz,MF,,Nantes,Ligue 1,27,1992,14.7,0,20,0,0.0,1.36,0.00,0.00,,23.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
6,Laurent Abergel,fr,MF,,Lorient,Ligue 1,27,1993,32.9,3,29,10,34.5,0.88,0.30,0.10,0.30,26.8,0,0,0,1.5,1.5,0.05,+1.5,+1.5,Matches
7,Charles Abi,fr,FW,MF,Saint-Étienne,Ligue 1,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,12.5,0,0,0,2.1,2.1,0.11,+0.9,+0.9,Matches
8,Matthis Abline,fr,FW,,Rennes,Ligue 1,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9,Pape Abou Cissé,sn,DF,,Saint-Étienne,Ligue 1,24,1995,14.0,0,13,3,23.1,0.93,0.21,0.00,0.00,13.0,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
10,David Abraham,ar,DF,,Eint Frankfurt,Bundesliga,34,1986,13.6,1,10,2,20.0,0.74,0.15,0.10,0.50,15.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
11,Tammy Abraham,eng,FW,,Chelsea,Premier League,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0,0,0,5.9,5.9,0.18,+0.1,+0.1,Matches
12,Amir Abrashi,al,MF,DF,Freiburg,Bundesliga,30,1990,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Gennaro Acampora,it,MF,FW,Spezia,Serie A,26,1994,4.9,0,9,0,0.0,1.84,0.00,0.00,,25.8,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
14,Francesco Acerbi,it,DF,,Lazio,Serie A,32,1988,31.3,0,9,0,0.0,0.29,0.00,0.00,,13.1,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Matches
