Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
120,Antonio Mirante,it,GK,,Roma,it Serie A,37,1983,12.8,19,2,1,0,0,15.8,0.24,-3.2,-0.27,46,106,43.4,309,63,26.9,30.9,83,27.7,28.6,162,1,0.6,23,1.95,18.3
121,Lorenzo Montipò,it,GK,,Benevento,it Serie A,24,1996,37.0,74,4,0,8,6,62.3,0.34,-5.7,-0.15,204,578,35.3,966,178,43.5,36.8,271,58.3,43.4,620,19,3.1,21,0.57,11.6
122,Jessy Moulin,fr,GK,,Saint-Étienne,Ligue 1,34,1986,29.0,42,4,3,6,2,30.0,0.26,-10.0,-0.34,99,308,32.1,676,146,28.7,33.4,200,57.0,46.2,377,16,4.2,13,0.45,13.1
123,Florian Müller,de,GK,,Freiburg,Bundesliga,22,1997,31.0,46,2,2,3,2,45.3,0.28,+1.3,+0.04,165,556,29.7,1060,151,33.8,34.0,271,73.1,55.4,409,7,1.7,36,1.16,17.4
124,Juan Musso,ar,GK,,Udinese,it Serie A,26,1994,35.0,51,13,2,2,0,51.0,0.26,0.0,0.00,165,380,43.4,760,171,36.2,32.9,254,41.3,34.7,484,26,5.4,18,0.51,13.3
125,Paul Nardi,fr,GK,,Lorient,Ligue 1,26,1994,23.0,43,4,0,3,0,33.6,0.27,-9.4,-0.41,92,320,28.8,435,109,42.1,36.7,197,69.5,51.4,288,10,3.5,17,0.74,15.1
126,Keylor Navas,cr,GK,,Paris S-G,Ligue 1,33,1986,28.0,18,1,0,2,0,26.0,0.26,+8.0,+0.28,65,139,46.8,572,115,18.2,27.2,170,20.6,26.7,308,0,0.0,25,0.89,16.6
127,Neto,br,GK,,Barcelona,La Liga,31,1989,7.0,6,2,0,1,0,7.4,0.23,+1.4,+0.20,14,36,38.9,189,37,15.3,24.8,52,13.5,23.0,86,2,2.3,8,1.14,13.9
128,Manuel Neuer,de,GK,,Bayern Munich,Bundesliga,34,1986,33.0,42,1,0,5,0,44.2,0.35,+2.2,+0.07,123,256,48.0,1131,188,20.5,28.8,186,12.9,27.2,349,5,1.4,105,3.18,23.6
129,Will Norris,eng,GK,,Burnley,Premier League,26,1993,2.0,4,0,0,2,0,0.9,0.15,-3.1,-1.54,20,48,41.7,39,1,82.1,54.5,18,88.9,62.8,27,2,7.4,1,0.50,10.0
130,Alexander Nübel,de,GK,,Bayern Munich,Bundesliga,23,1996,1.0,2,0,0,1,0,1.1,0.28,-0.9,-0.88,1,3,33.3,28,2,10.7,23.4,8,0.0,20.4,12,1,8.3,0,0.00,7.7
131,Jan Oblak,si,GK,,Atlético Madrid,La Liga,27,1993,38.0,25,1,0,5,3,33.1,0.25,+11.1,+0.29,202,539,37.5,710,131,49.7,39.1,293,63.5,45.9,513,14,2.7,27,0.71,15.7
132,Robin Olsen,se,GK,,Everton,Premier League,30,1990,7.0,9,1,0,0,0,9.5,0.29,+0.5,+0.07,36,93,38.7,148,23,42.6,35.6,51,58.8,42.9,88,4,4.5,4,0.57,12.3
133,Jonas Omlin,ch,GK,,Montpellier,Ligue 1,26,1994,29.7,51,11,0,4,2,49.2,0.25,+0.2,+0.01,199,454,43.8,737,175,39.9,35.5,246,65.0,48.8,442,24,5.4,16,0.54,13.4
134,Stefan Ortega,de,GK,,Arminia,Bundesliga,27,1992,34.0,52,5,0,5,1,54.1,0.29,+3.1,+0.09,436,938,46.5,1698,121,45.9,38.6,250,63.2,49.1,525,17,3.2,44,1.29,16.8
135,David Ospina,co,GK,,Napoli,it Serie A,31,1988,16.0,12,3,0,0,0,13.9,0.26,+1.9,+0.12,57,119,47.9,488,51,22.7,28.6,57,14.0,22.9,192,15,7.8,11,0.69,12.6
136,Alexandre Oukidja,dz,GK,,Metz,Ligue 1,32,1988,34.0,38,9,0,4,1,38.4,0.23,+1.4,+0.04,207,526,39.4,752,184,43.6,38.4,286,69.2,51.2,536,39,7.3,47,1.38,16.1
137,Fernando Pacheco,es,GK,,Alavés,La Liga,28,1992,37.2,57,3,0,5,0,51.1,0.35,-5.9,-0.16,305,601,50.7,777,112,53.7,40.3,299,61.5,44.6,535,18,3.4,37,0.99,14.5
138,Daniele Padelli,it,GK,,Inter,it Serie A,34,1985,0.5,1,1,0,0,0,1.3,0.13,+0.3,+0.50,0,0,,9,1,0.0,17.9,4,0.0,14.5,5,0,0.0,1,2.00,20.0
139,Alberto Paleari,it,GK,,Genoa,it Serie A,27,1992,2.3,3,0,0,0,0,2.9,0.25,-0.1,-0.04,7,30,23.3,59,11,39.0,34.6,19,36.8,35.7,33,1,3.0,2,0.87,11.1
140,Ivor Pandur,hr,GK,,Hellas Verona,it Serie A,20,2000,3.7,6,0,0,1,0,4.8,0.37,-1.2,-0.33,16,56,28.6,79,9,45.6,34.1,22,90.9,61.2,37,3,8.1,5,1.36,16.8
141,Rui Patrício,pt,GK,,Wolves,Premier League,32,1988,37.0,51,7,1,8,3,45.3,0.26,-2.7,-0.07,160,383,41.8,540,146,43.9,35.5,268,54.5,36.8,558,21,3.8,12,0.32,10.6
142,Jiří Pavlenka,cz,GK,,Werder Bremen,Bundesliga,28,1992,34.0,57,4,0,7,3,48.7,0.28,-5.3,-0.16,211,461,45.8,865,168,37.8,33.9,279,48.0,40.9,567,17,3.0,30,0.88,14.4
143,Bailey Peacock-Farrell,nir,GK,,Burnley,Premier League,23,1996,4.0,14,0,0,2,0,7.9,0.33,-6.1,-1.52,43,94,45.7,83,6,80.7,49.8,29,93.1,64.8,50,0,0.0,4,1.00,22.8
144,Gianluca Pegolo,it,GK,,Sassuolo,it Serie A,39,1981,1.0,0,0,0,0,0,0.1,0.13,+0.1,+0.13,0,1,0.0,14,2,7.1,19.1,8,0.0,14.0,15,1,6.7,1,1.00,15.3
145,Yohann Pelé,fr,GK,,Marseille,Ligue 1,37,1982,1.0,2,0,0,0,0,1.7,0.35,-0.3,-0.26,0,0,,20,7,0.0,17.2,3,0.0,18.3,12,0,0.0,1,1.00,12.0
146,Philipp Pentke,de,GK,,Hoffenheim,Bundesliga,35,1985,3.0,3,0,1,0,0,4.1,0.36,+1.1,+0.36,9,20,45.0,89,19,21.3,26.5,20,5.0,22.8,26,0,0.0,3,1.00,22.0
147,Juan Pérez,es,GK,,Osasuna,La Liga,24,1996,3.0,3,1,0,0,0,3.1,0.26,+0.1,+0.02,20,55,36.4,58,8,48.3,41.3,29,93.1,63.4,44,0,0.0,3,1.00,13.0
148,Mattia Perin,it,GK,,Genoa,it Serie A,27,1992,32.0,44,7,0,5,2,47.5,0.27,+5.5,+0.17,187,554,33.8,882,140,47.4,37.1,275,49.5,38.4,540,19,3.5,18,0.56,12.6
149,Pavao Pervan,at,GK,,Wolfsburg,Bundesliga,32,1987,2.0,4,0,0,2,0,3.4,0.25,-0.6,-0.29,11,28,39.3,53,5,34.0,32.6,17,58.8,47.5,35,0,0.0,0,0.00,10.7
150,Jordan Pickford,eng,GK,,Everton,Premier League,26,1994,30.5,39,2,1,5,1,37.9,0.28,-0.1,0.00,230,590,39.0,951,151,47.4,37.8,198,70.2,52.4,468,20,4.3,31,1.02,13.3
151,Carlo Pinsoglio,it,GK,,Juventus,it Serie A,30,1990,0.3,1,0,0,0,0,1.0,0.51,0.0,+0.07,0,0,,9,0,0.0,20.9,2,0.0,14.0,2,0,0.0,1,3.91,28.0
152,Nick Pope,eng,GK,,Burnley,Premier League,28,1992,32.0,37,3,0,4,1,40.2,0.25,+4.2,+0.13,254,699,36.3,724,136,67.1,46.3,251,84.9,58.9,523,32,6.1,73,2.28,18.1
153,Ivan Provedel,it,GK,,Spezia,it Serie A,26,1994,29.0,55,6,1,4,0,48.0,0.32,-7.0,-0.24,185,489,37.8,1244,132,33.4,34.2,157,46.5,42.0,298,9,3.0,46,1.59,17.2
154,Anthony Racioppi,ch,GK,,Dijon,Ligue 1,21,1998,21.0,33,3,0,4,0,33.3,0.33,+0.3,+0.02,97,297,32.7,472,103,37.5,33.9,177,67.8,48.1,330,7,2.1,13,0.62,11.5
155,Ionuț Radu,ro,GK,,Inter,it Serie A,23,1997,1.5,1,0,0,0,0,0.4,0.07,-0.6,-0.38,0,2,0.0,47,12,4.3,21.1,9,0.0,13.9,28,0,0.0,3,2.00,13.9
156,Rafael,br,GK,,Spezia,it Serie A,38,1982,2.3,5,0,0,0,0,5.9,0.33,+0.9,+0.38,12,35,34.3,91,10,34.1,32.4,16,25.0,27.8,37,1,2.7,2,0.87,12.6
157,Predrag Rajković,rs,GK,,Reims,Ligue 1,24,1995,36.5,49,4,0,7,1,49.9,0.28,+1.9,+0.05,192,640,30.0,1106,159,40.0,36.7,340,58.2,46.6,574,11,1.9,34,0.93,14.5
158,Aaron Ramsdale,eng,GK,,Sheffield Utd,Premier League,22,1998,38.0,63,3,0,8,3,54.3,0.26,-5.7,-0.15,263,817,32.2,866,128,64.5,45.5,281,91.8,64.5,578,33,5.7,34,0.89,12.8
159,Darren Randolph,ie,GK,,West Ham,Premier League,33,1987,3.0,3,0,0,3,0,1.2,0.13,-1.8,-0.60,12,39,30.8,43,5,55.8,42.2,23,65.2,45.7,49,0,0.0,2,0.67,13.6
160,Federico Ravaglia,it,GK,,Bologna,it Serie A,20,1999,4.0,10,1,0,1,1,7.2,0.34,-1.8,-0.44,8,23,34.8,114,17,16.7,25.6,23,17.4,21.8,33,0,0.0,8,2.00,26.2
161,Pepe Reina,es,GK,,Lazio,it Serie A,37,1982,29.0,41,8,0,6,2,37.4,0.26,-1.6,-0.05,131,295,44.4,983,125,26.8,30.8,145,22.1,25.5,372,9,2.4,17,0.59,13.8
162,Álex Remiro,es,GK,,Real Sociedad,La Liga,25,1995,38.0,38,3,0,4,1,35.0,0.30,-2.0,-0.05,204,520,39.2,998,132,38.2,35.1,217,64.1,49.7,415,9,2.2,47,1.24,17.3
163,Baptiste Reynet,fr,GK,,Nîmes,Ligue 1,29,1990,38.0,71,6,1,7,0,64.1,0.29,-6.9,-0.18,254,731,34.7,1287,148,41.2,36.1,304,66.1,47.1,600,17,2.8,41,1.08,16.1
164,Sergio Rico,es,GK,,Paris S-G,Ligue 1,26,1993,9.0,9,0,0,0,1,10.2,0.29,+2.2,+0.24,6,23,26.1,158,40,10.8,23.2,55,10.9,24.5,110,0,0.0,10,1.11,18.0
165,Roberto,es,GK,,Valladolid,La Liga,34,1986,13.0,17,2,0,2,0,15.0,0.30,-2.0,-0.15,86,288,29.9,299,39,64.5,46.8,114,83.3,58.9,201,1,0.5,10,0.77,13.9
166,Joel Robles,es,GK,,Betis,La Liga,30,1990,18.0,25,4,1,4,2,22.8,0.30,-0.2,-0.01,95,278,34.2,440,81,48.4,37.8,116,56.0,42.7,218,9,4.1,32,1.78,19.0
167,Marek Rodák,sk,GK,,Fulham,Premier League,23,1996,2.0,5,1,0,1,0,4.0,0.44,-1.0,-0.48,6,13,46.2,40,6,27.5,30.2,7,28.6,30.1,17,1,5.9,2,1.00,14.0
168,Rubén,es,GK,,Osasuna,La Liga,36,1984,2.1,5,0,0,0,0,4.4,0.55,-0.6,-0.29,32,50,64.0,45,2,80.0,49.5,14,100.0,59.6,23,1,4.3,4,1.93,19.4
169,John Ruddy,eng,GK,,Wolves,Premier League,33,1986,1.0,1,0,0,1,0,0.9,0.22,-0.1,-0.11,1,6,16.7,19,10,26.3,33.2,5,20.0,31.0,19,3,15.8,0,0.00,8.7
170,Gerónimo Rulli,ar,GK,,Villarreal,La Liga,28,1992,2.0,4,0,0,0,0,2.7,0.33,-1.3,-0.67,10,25,40.0,76,18,21.1,25.9,21,42.9,41.1,33,1,3.0,0,0.00,9.7
171,Mathew Ryan,au,GK,,Arsenal,Premier League,28,1992,3.0,2,1,0,0,0,3.6,0.27,+1.6,+0.55,3,7,42.9,59,21,6.8,21.9,9,33.3,29.9,28,6,21.4,4,1.33,14.3
172,Mathew Ryan,au,GK,,Brighton,Premier League,28,1992,11.0,19,4,0,3,1,12.6,0.26,-5.4,-0.49,42,111,37.8,355,61,25.4,28.8,56,37.5,32.7,136,6,4.4,4,0.36,10.6
173,Frederik Rønnow,dk,GK,,Schalke 04,Bundesliga,27,1992,10.5,24,4,0,5,2,21.6,0.27,-0.4,-0.04,44,117,37.6,280,67,26.1,29.9,95,46.3,38.7,132,8,6.1,13,1.24,14.2
174,Romain Salin,fr,GK,,Rennes,Ligue 1,36,1984,15.0,14,0,0,4,0,12.9,0.25,-1.1,-0.08,76,198,38.4,425,71,29.2,30.6,122,60.7,47.9,169,3,1.8,39,2.60,20.8
175,Robert Sánchez,es,GK,,Brighton,Premier League,22,1997,27.0,27,2,0,5,1,23.3,0.24,-2.7,-0.10,151,411,36.7,925,118,34.7,33.6,177,50.8,41.1,340,22,6.5,29,1.07,14.5
176,Kasper Schmeichel,dk,GK,,Leicester City,Premier League,33,1986,38.0,50,4,0,9,2,42.2,0.29,-5.8,-0.15,159,425,37.4,1038,181,32.1,33.2,210,43.8,37.9,484,20,4.1,19,0.50,13.6
177,Alexander Schwolow,de,GK,,Hertha BSC,Bundesliga,28,1992,26.0,39,6,1,2,0,38.9,0.31,-0.1,0.00,126,288,43.8,696,128,25.3,31.2,220,50.9,42.9,373,10,2.7,19,0.73,14.5
178,Simone Scuffet,it,GK,,Udinese,it Serie A,24,1996,1.0,2,1,0,0,0,1.7,0.19,-0.3,-0.26,8,17,47.1,19,5,52.6,39.1,9,77.8,48.6,26,0,0.0,0,0.00,5.7
179,Matz Sels,be,GK,,Strasbourg,Ligue 1,28,1992,6.0,13,2,1,3,0,9.2,0.29,-3.8,-0.63,38,101,37.6,124,25,51.6,40.1,50,74.0,54.9,85,4,4.7,2,0.33,7.7
180,Luigi Sepe,it,GK,,Parma,it Serie A,29,1991,36.0,76,2,0,8,3,56.8,0.31,-16.2,-0.45,298,554,53.8,1165,182,38.1,34.4,274,40.1,36.5,619,16,2.6,24,0.67,13.9
181,Rui Silva,pt,GK,,Granada,La Liga,26,1994,32.0,55,5,2,3,1,48.6,0.29,-5.4,-0.17,264,713,37.0,806,66,61.7,43.9,265,81.5,55.7,461,10,2.2,51,1.59,18.8
182,Marco Silvestri,it,GK,,Hellas Verona,it Serie A,29,1991,34.0,42,6,1,6,2,36.6,0.24,-3.4,-0.10,191,679,28.1,694,77,63.5,43.1,266,89.5,58.0,444,9,2.0,20,0.61,12.4
183,Unai Simón,es,GK,,Athletic Club,La Liga,23,1997,37.0,40,5,1,6,1,36.0,0.28,-3.0,-0.08,205,489,41.9,799,204,37.0,35.2,263,73.4,52.8,539,24,4.5,34,0.92,15.1
184,Tobias Sippel,de,GK,,Gladbach,Bundesliga,32,1988,3.8,6,0,0,1,0,4.8,0.26,-1.2,-0.32,25,75,33.3,98,10,41.8,37.4,46,73.9,55.0,71,1,1.4,5,1.31,15.8
185,Salvatore Sirigu,it,GK,,Torino,it Serie A,33,1987,32.0,62,8,1,6,0,50.4,0.32,-11.6,-0.36,168,418,40.2,734,108,38.3,33.6,271,50.6,37.9,486,11,2.3,21,0.66,14.6
186,Antonio Sivera,es,GK,,Alavés,La Liga,23,1996,0.8,,,,,,0.0,0.04,,,4,14,28.6,15,4,53.3,39.5,7,85.7,53.6,10,1,10.0,,,8.0
187,Łukasz Skorupski,pl,GK,,Bologna,it Serie A,29,1991,28.0,46,5,1,8,1,47.4,0.29,+2.4,+0.09,92,257,35.8,724,168,27.8,30.2,231,24.2,23.4,443,23,5.2,21,0.75,12.6
188,Yann Sommer,ch,GK,,Gladbach,Bundesliga,31,1988,30.1,50,6,0,5,0,40.2,0.26,-9.8,-0.33,120,298,40.3,1026,123,23.7,28.7,212,25.9,28.6,397,7,1.8,30,1.00,16.5
189,David Soria,es,GK,,Getafe,La Liga,27,1993,28.0,31,6,0,3,3,28.7,0.27,+0.7,+0.03,291,730,39.9,660,15,85.3,51.7,195,85.6,55.6,317,12,3.8,46,1.64,18.5
190,Marco Sportiello,it,GK,,Atalanta,it Serie A,28,1992,14.0,21,1,0,2,0,17.3,0.33,-3.7,-0.26,40,91,44.0,318,74,17.9,28.3,57,59.6,43.6,143,8,5.6,27,1.93,16.3
191,Zack Steffen,us,GK,,Manchester City,Premier League,25,1995,1.0,1,0,0,0,0,0.9,0.47,-0.1,-0.06,0,4,0.0,22,4,13.6,27.0,8,12.5,12.3,14,0,0.0,0,0.00,
192,Thomas Strakosha,al,GK,,Lazio,it Serie A,25,1995,9.0,14,2,0,1,0,12.8,0.29,-1.2,-0.14,50,90,55.6,287,49,29.6,29.3,57,8.8,23.6,119,4,3.4,5,0.56,14.2
193,Wojciech Szczęsny,pl,GK,,Juventus,it Serie A,30,1990,29.7,32,4,0,4,2,29.8,0.25,-0.2,-0.01,76,149,51.0,836,132,15.6,26.5,179,10.6,22.0,399,12,3.0,37,1.24,16.2
194,Ciprian Tătărușanu,ro,GK,,Milan,it Serie A,34,1986,1.0,3,1,0,2,0,2.4,0.29,-0.6,-0.59,1,3,33.3,22,8,9.1,19.7,4,25.0,30.3,12,0,0.0,0,0.00,8.0
195,Marc-André ter Stegen,de,GK,,Barcelona,La Liga,28,1992,31.0,32,3,1,4,2,28.6,0.24,-1.4,-0.04,78,171,45.6,881,156,14.6,26.5,161,26.1,31.6,283,17,6.0,32,1.03,15.8
196,Pietro Terracciano,it,GK,,Fiorentina,it Serie A,30,1990,3.0,4,0,0,1,1,3.0,0.19,0.0,+0.01,28,66,42.4,56,10,64.3,45.9,32,93.8,59.6,52,2,3.8,1,0.33,11.1
197,Kevin Trapp,de,GK,,Eint Frankfurt,Bundesliga,30,1990,33.0,52,4,1,5,2,44.6,0.27,-5.4,-0.16,222,574,38.7,1088,163,41.2,34.4,265,47.5,41.6,459,14,3.1,51,1.55,15.7
198,Samir Ujkani,xk,GK,,Torino,it Serie A,32,1988,1.0,1,0,0,0,0,0.3,0.09,-0.7,-0.73,2,5,40.0,20,5,25.0,30.9,6,0.0,26.0,19,0,0.0,0,0.00,11.5
199,Tomáš Vaclík,cz,GK,,Sevilla,La Liga,31,1989,5.0,5,0,0,0,0,5.8,0.41,+0.8,+0.15,17,37,45.9,120,22,25.8,29.2,25,24.0,30.2,62,4,6.5,2,0.40,11.2
200,Koke Vegas,es,GK,,Levante,La Liga,24,1995,1.0,2,0,0,0,0,2.2,0.55,+0.2,+0.19,3,12,25.0,19,3,47.4,37.2,10,30.0,32.0,12,0,0.0,1,1.00,12.3
201,Guglielmo Vicario,it,GK,,Cagliari,it Serie A,23,1996,4.0,6,0,0,2,0,4.9,0.23,-1.1,-0.28,26,54,48.1,81,17,39.5,35.6,25,88.0,56.4,71,1,1.4,0,0.00,6.8
202,Iván Villar,es,GK,,Celta Vigo,La Liga,23,1997,19.8,30,6,1,2,1,27.1,0.28,-1.9,-0.10,100,338,29.6,505,77,45.0,37.1,172,64.5,49.4,319,7,2.2,31,1.57,15.5
203,João Virgínia,pt,GK,,Everton,Premier League,20,1999,0.5,0,0,0,0,0,0.3,0.10,+0.3,+0.58,2,9,22.2,12,3,50.0,44.6,3,100.0,67.3,4,1,25.0,0,0.00,10.0
204,Rubén Yáñez,es,GK,,Getafe,La Liga,26,1993,10.0,12,1,0,0,0,11.0,0.33,-1.0,-0.10,79,183,43.2,203,33,63.1,43.4,68,80.9,54.8,127,5,3.9,4,0.40,12.3
205,Yoel,es,GK,,Eibar,La Liga,31,1988,3.3,3,0,0,0,0,2.3,0.38,-0.7,-0.21,34,69,49.3,102,26,51.0,40.2,17,100.0,69.9,19,0,0.0,15,4.50,24.3
206,Robin Zentner,de,GK,,Mainz 05,Bundesliga,25,1994,31.0,46,5,1,3,1,40.9,0.26,-4.1,-0.13,132,453,29.1,824,199,38.0,35.4,250,56.0,46.0,470,32,6.8,37,1.19,14.5
207,Ron-Robert Zieler,de,GK,,Köln,Bundesliga,31,1989,0.6,1,1,0,0,0,1.2,0.07,+0.2,+0.31,6,11,54.5,17,4,35.3,33.5,6,83.3,49.7,15,1,6.7,0,0.00,13.0
208,Jeroen Zoet,nl,GK,,Spezia,it Serie A,29,1991,6.7,12,3,0,2,0,10.0,0.24,-2.0,-0.30,37,101,36.6,275,46,32.4,33.1,31,38.7,37.4,72,6,8.3,11,1.64,17.8
