Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
120,Mile Svilar,rs,GK,,Roma,Serie A,25,1999,8.0,6,1,0,0,0,9.0,0.26,+3.0,+0.38,21,89,23.6,242,30,24.0,31.4,47,66.0,50.2,97,4,4.1,3,0.38,13.5,Matches
121,Marc-André ter Stegen,de,GK,,Barcelona,La Liga,32,1992,5.5,5,1,0,0,0,4.6,0.25,-0.4,-0.08,13,28,46.4,186,31,13.4,27.3,17,17.6,29.9,64,3,4.7,6,1.09,13.9,Matches
122,Pietro Terracciano,it,GK,,Fiorentina,Serie A,34,1990,3.0,3,0,0,0,0,3.1,0.24,+0.1,+0.03,8,25,32.0,78,14,28.2,28.8,11,27.3,26.5,20,1,5.0,3,1.00,17.0,Matches
123,Kevin Trapp,de,GK,,Eint Frankfurt,Bundesliga,34,1990,3.5,5,0,0,0,0,5.8,0.27,+0.8,+0.22,17,45,37.8,108,22,32.4,29.1,24,41.7,36.0,71,1,1.4,1,0.29,7.9,Matches
124,Mark Travers,ie,GK,,Bournemouth,Premier League,25,1999,1.0,1,0,0,0,0,1.2,0.40,+0.2,+0.19,6,12,50.0,16,3,62.5,40.3,2,100.0,68.0,6,0,0.0,2,2.00,16.0,Matches
125,Stefano Turati,it,GK,,Monza,Serie A,23,2001,5.0,7,0,0,2,0,6.2,0.28,-0.8,-0.16,51,105,48.6,141,11,53.2,37.1,35,85.7,58.5,85,1,1.2,2,0.40,12.4,Matches
126,Sven Ulreich,de,GK,,Bayern Munich,Bundesliga,36,1988,1.0,0,0,0,0,0,0.0,,0.0,0.00,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.00,12.3,Matches
127,Nikola Vasilj,ba,GK,,St. Pauli,Bundesliga,28,1995,7.0,11,0,0,2,0,11.1,0.30,+0.1,+0.01,38,122,31.1,256,29,39.5,35.2,39,53.8,44.5,99,5,5.1,6,0.86,16.6,Matches
128,Devis Vásquez,co,GK,,Empoli,Serie A,26,1998,8.0,5,1,0,1,0,5.8,0.19,+0.8,+0.10,36,131,27.5,232,26,45.7,38.2,29,86.2,59.7,146,12,8.2,4,0.50,9.9,Matches
129,Bart Verbruggen,nl,GK,,Brighton,Premier League,22,2002,6.0,9,2,1,0,0,9.4,0.30,+0.4,+0.07,29,69,42.0,229,30,26.6,28.3,15,53.3,41.0,50,3,6.0,12,2.00,16.0,Matches
130,Guglielmo Vicario,it,GK,,Tottenham,Premier League,28,1996,8.0,9,0,0,1,0,9.9,0.38,+0.9,+0.12,4,17,23.5,299,51,5.7,20.2,21,0.0,15.0,86,11,12.8,17,2.13,16.3,Matches
131,Iván Villar,es,GK,,Celta Vigo,La Liga,27,1997,4.0,9,0,0,3,2,8.2,0.40,+1.2,+0.30,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8,Matches
132,Christian Walton,eng,GK,,Ipswich Town,Premier League,28,1995,1.0,2,0,0,0,0,2.3,0.47,+0.3,+0.33,6,14,42.9,36,7,33.3,30.4,6,33.3,31.3,16,1,6.3,1,1.00,13.8,Matches
133,Timon Weiner,de,GK,,Holstein Kiel,Bundesliga,25,1999,7.0,21,2,1,3,1,15.2,0.29,-4.8,-0.68,46,119,38.7,228,41,40.8,34.2,44,59.1,45.3,137,8,5.8,3,0.43,9.9,Matches
134,Robin Zentner,de,GK,,Mainz 05,Bundesliga,29,1994,8.0,13,1,1,2,0,13.9,0.29,+0.9,+0.11,43,131,32.8,232,44,41.8,37.0,58,58.6,49.3,167,10,6.0,16,2.00,15.3,Matches
135,Michael Zetterer,de,GK,,Werder Bremen,Bundesliga,29,1995,7.0,14,0,0,1,0,11.8,0.38,-2.2,-0.32,25,70,35.7,238,41,24.8,31.6,41,26.8,35.8,100,10,10.0,6,0.86,12.6,Matches
