Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
661,Mikkel Damsgaard,dk,MF,Brentford,Premier League,24,2000,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
662,Flavius Daniliuc,at,DF,Hellas Verona,it Serie A,23,2001,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
663,Danilo,br,MF,Nott'ham Forest,Premier League,23,2001,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
664,Danilo,br,DF,Juventus,it Serie A,33,1991,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
665,Arnaut Danjuma,nl,FW,Villarreal,La Liga,27,1997,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
666,Arnaut Danjuma,nl,FW,Girona,La Liga,27,1997,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
667,Kévin Danois,fr,MF,Auxerre,Ligue 1,20,2004,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
668,Kevin Danso,at,DF,Lens,Ligue 1,26,1998,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
669,Dante,br,DF,Nice,Ligue 1,41,1983,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
670,Pape Daouda Diongue,sn,MF,Strasbourg,Ligue 1,,,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
671,Mohammed Daramy,dk,FW,Reims,Ligue 1,22,2002,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
672,Bence Dárdai,de,MF,Wolfsburg,Bundesliga,18,2006,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
673,Sergi Darder,es,MF,Mallorca,La Liga,30,1993,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
674,Achraf Dari,ma,DF,Brest,Ligue 1,25,1999,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
675,Matteo Darmian,it,DF,Inter,it Serie A,35,1989,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
676,Noah Darvich,de,MF,Barcelona,La Liga,18,2006,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
677,Lukas Daschner,de,MF,Bochum,Bundesliga,26,1998,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
678,Juan David Cabal,co,DF,Juventus,it Serie A,23,2001,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
679,Jonathan David,ca,FW,Lille,Ligue 1,24,2000,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
680,Alphonso Davies,ca,DF,Bayern Munich,Bundesliga,24,2000,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
681,Ben Davies,wls,DF,Tottenham,Premier League,31,1993,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
682,Harvey Davies,eng,GK,Liverpool,Premier League,21,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
683,Keinan Davis,eng,FW,Udinese,it Serie A,26,1998,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
684,Leif Davis,eng,DF,Ipswich Town,Premier League,24,2000,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
685,Zuriko Davitashvili,ge,MF,Saint-Étienne,Ligue 1,23,2001,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
686,Paweł Dawidowicz,pl,DF,Hellas Verona,it Serie A,29,1995,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
687,Craig Dawson,eng,DF,Wolves,Premier League,34,1990,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
688,Kevin De Bruyne,be,MF,Manchester City,Premier League,33,1991,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
689,Charles De Ketelaere,be,MF,Atalanta,it Serie A,23,2001,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
690,Jeffrey De Lange,nl,GK,Marseille,Ligue 1,26,1998,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
691,Rodrigo De Paul,ar,MF,Atlético Madrid,La Liga,30,1994,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
692,Théo De Percin,mq,GK,Auxerre,Ligue 1,23,2001,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
693,Mattia De Sciglio,it,DF,Empoli,it Serie A,32,1992,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
694,Lorenzo De Silvestri,it,DF,Bologna,it Serie A,36,1988,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
