Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
1438,Matej Kovar,cz,GK,,Leverkusen,Bundesliga,24,2000,1,90,90,7.1,1.0,1,90,1,0,,13,0.00,2,3,-1,-1.00,-2.00,2.2,1.1,+1.1,+1.06,Matches
1439,Mateusz Kowalski,pl,MF,,Parma,it Serie A,19,2005,1,56,56,3.9,0.6,1,56,0,0,,2,0.00,1,0,+1,+1.61,+2.00,1.5,0.9,+0.7,+1.06,Matches
1440,Caleb Kporha,eng,DF,,Crystal Palace,Premier League,18,2006,1,3,3,0.2,0.0,0,,0,1,3,8,0.00,0,0,0,0.00,+0.25,0.0,0.0,0.0,+0.80,Matches
1441,Emil Krafth,se,DF,,Newcastle Utd,Premier League,30,1994,3,241,80,16.7,2.7,2,90,2,1,61,7,2.33,4,2,+2,+0.75,+0.75,3.7,5.0,-1.4,-0.51,Matches
1442,Alex Král,cz,MF,,Espanyol,La Liga,26,1998,17,"1,474",87,96.3,16.4,16,90,16,1,34,0,0.88,16,28,-12,-0.73,+0.87,14.2,27.9,-13.7,-0.84,Matches
1443,Andrej Kramarić,hr,MF,FW,Hoffenheim,Bundesliga,33,1991,13,"1,082",83,85.9,12.0,13,83,5,0,,0,1.08,11,21,-10,-0.83,-2.35,14.7,19.8,-5.1,-0.42,Matches
1444,Frans Krätzig,de,DF,,Stuttgart,Bundesliga,21,2003,1,56,56,4.4,0.6,1,56,0,0,,3,0.00,1,2,-1,-1.61,-2.06,0.1,1.6,-1.4,-2.33,Matches
1445,Ladislav Krejčí,cz,DF,,Girona,La Liga,25,1999,9,730,81,47.7,8.1,8,90,8,1,10,6,1.00,9,12,-3,-0.37,-0.48,8.7,10.2,-1.5,-0.19,Matches
1446,Marcus Kristensen,de,MF,,Stuttgart,Bundesliga,21,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
1447,Rasmus Kristensen,dk,DF,,Eint Frankfurt,Bundesliga,27,1997,11,937,85,74.4,10.4,11,85,10,0,,0,1.64,23,15,+8,+0.77,-0.90,20.6,16.7,+3.8,+0.37,Matches
1448,Thomas Kristensen,dk,DF,,Udinese,it Serie A,22,2002,6,368,61,25.6,4.1,3,90,3,3,33,2,1.50,5,10,-5,-1.22,-1.14,6.1,6.8,-0.6,-0.15,Matches
1449,Nikola Krstović,me,FW,,Lecce,it Serie A,24,2000,16,"1,349",84,93.7,15.0,16,84,10,0,,0,1.00,9,27,-18,-1.20,-2.19,15.0,22.8,-7.8,-0.52,Matches
1450,Lukas Kübler,de,DF,,Freiburg,Bundesliga,32,1992,14,"1,065",76,84.5,11.8,14,76,4,0,,0,1.71,19,12,+7,+0.59,+3.36,17.7,12.3,+5.4,+0.46,Matches
1451,Takefusa Kubo,jp,MF,FW,Real Sociedad,La Liga,23,2001,17,"1,161",68,75.9,12.9,13,79,5,4,35,0,1.47,11,7,+4,+0.31,+0.07,15.5,12.3,+3.2,+0.25,Matches
1452,Mahmut Kücüksahin,,DF,,Augsburg,Bundesliga,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1453,Mohammed Kudus,gh,MF,FW,West Ham,Premier League,24,2000,11,901,82,62.6,10.0,11,82,4,0,,0,1.09,12,18,-6,-0.60,-0.27,15.0,16.7,-1.7,-0.17,Matches
1454,Godwill Kukonki,eng,DF,,Manchester Utd,Premier League,16,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1455,Dejan Kulusevski,se,MF,FW,Tottenham,Premier League,24,2000,16,"1,230",77,85.4,13.7,14,85,11,2,18,0,1.44,31,16,+15,+1.10,+0.24,27.5,20.5,+7.1,+0.52,Matches
1456,Sael Kumbedi,fr,DF,,Lyon,Ligue 1,19,2005,3,177,59,13.1,2.0,2,86,0,1,5,5,2.33,4,3,+1,+0.51,+0.05,2.6,1.8,+0.8,+0.43,Matches
1457,Marash Kumbulla,al,DF,,Espanyol,La Liga,24,2000,15,"1,192",79,77.9,13.2,14,83,11,1,27,0,1.00,13,23,-10,-0.76,+0.04,12.1,23.2,-11.0,-0.83,Matches
1458,Jonah Kusi-Asare,se,FW,,Bayern Munich,Bundesliga,17,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
1459,Daler Kuzyaev,ru,MF,,Le Havre,Ligue 1,31,1993,11,515,47,38.1,5.7,5,80,3,6,19,3,0.82,5,13,-8,-1.40,-0.32,3.7,12.1,-8.3,-1.46,Matches
1460,Khvicha Kvaratskhelia,ge,FW,MF,Napoli,it Serie A,23,2001,15,"1,086",72,75.4,12.1,14,76,4,1,19,0,2.13,19,6,+13,+1.08,+1.08,17.5,9.0,+8.5,+0.70,Matches
