Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
158,Tommaso Augello,it,DF,Cagliari,it Serie A,28,1994,26.9,56,2.08,32,19,0,1,2,2,2,0.07,2,0,0,0,0,0
159,Carlos Augusto,br,DF,Inter,it Serie A,24,1999,19.2,36,1.88,29,4,1,0,1,1,6,0.31,4,1,1,0,0,0
160,Yann Aurel Bisseck,de,DF,Inter,it Serie A,22,2000,10.0,10,1.00,4,0,1,2,3,0,0,0.00,0,0,0,0,0,0
161,Serge Aurier,ci,DF/MF,Nott'ham Forest,Premier League,30,1992,9.3,15,1.62,12,1,1,0,1,0,2,0.22,2,0,0,0,0,0
162,Ezequiel Ávila,ar,FW/MF,Osasuna,La Liga,29,1994,9.6,37,3.85,23,9,0,4,1,0,7,0.73,3,2,0,2,0,0
163,Ezequiel Ávila,ar,FW,Betis,La Liga,29,1994,3.3,9,2.72,3,0,2,2,2,0,1,0.30,0,0,0,0,1,0
164,Taiwo Awoniyi,ng,FW,Nott'ham Forest,Premier League,25,1997,11.6,30,2.60,22,0,2,0,4,2,6,0.52,5,0,1,0,0,0
165,André Ayew,gh,FW,Le Havre,Ligue 1,33,1989,12.3,27,2.20,18,0,5,2,0,2,1,0.08,1,0,0,0,0,0
166,Jordan Ayew,gh,FW/MF,Crystal Palace,Premier League,31,1991,28.3,72,2.55,40,5,5,7,12,3,12,0.42,10,0,1,0,1,0
167,Neil El Aynaoui,fr,MF,Lens,Ligue 1,22,2001,17.4,25,1.44,20,0,0,1,3,1,3,0.17,2,0,0,0,1,0
168,Sardar Azmoun,ir,FW/MF,Roma,it Serie A,28,1995,6.5,18,2.77,10,0,1,5,2,0,5,0.77,1,0,0,2,2,0
169,César Azpilicueta,es,DF,Atlético Madrid,La Liga,33,1989,15.8,32,2.03,30,2,0,0,0,0,3,0.19,3,0,0,0,0,0
170,Paulo Azzi,br,DF/MF,Cagliari,it Serie A,29,1994,10.6,25,2.37,18,0,2,4,0,1,0,0.00,0,0,0,0,0,0
171,Oussama El Azzouzi,ma,MF,Bologna,it Serie A,22,2001,6.1,10,1.65,8,1,0,0,1,0,3,0.49,3,0,0,0,0,0
172,Abdellah Baallal,ma,MF,Clermont Foot,Ligue 1,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
173,Iddrisu Baba,gh,MF,Almería,La Liga,27,1996,15.9,18,1.13,14,0,0,1,0,3,0,0.00,0,0,0,0,0,0
174,Srđan Babić,rs,DF,Almería,La Liga,27,1996,1.0,3,3.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
175,Shavy Babicka,ga,FW/MF,Toulouse,Ligue 1,23,2000,4.1,9,2.17,7,0,0,2,0,0,2,0.48,2,0,0,0,0,0
176,Aliou Badara Baldé,gn,FW/DF,Nice,Ligue 1,20,2002,0.8,5,6.25,2,0,2,0,1,0,0,0.00,0,0,0,0,0,0
177,Loïc Bade,fr,DF,Sevilla,La Liga,23,2000,25.3,20,0.79,18,0,0,1,0,1,4,0.16,3,0,0,1,0,0
178,Milan Badelj,hr,MF,Genoa,it Serie A,34,1989,28.2,57,2.02,51,1,1,2,2,0,13,0.46,11,0,1,1,0,0
179,Matthias Bader,de,DF/MF,Darmstadt 98,Bundesliga,26,1997,20.0,49,2.45,37,2,3,3,2,2,4,0.20,3,0,0,0,0,1
180,Benoît Badiashile,fr,DF,Chelsea,Premier League,22,2001,14.9,23,1.55,18,0,0,2,1,2,3,0.20,3,0,0,0,0,0
181,Alex Baena,es,MF/FW,Villarreal,La Liga,22,2001,28.7,151,5.27,93,34,10,9,2,3,22,0.77,14,5,0,2,0,1
