Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
74,Iker Almena,es,FW,DF,Girona,La Liga,20,2004,0.5,3,5.63,2,0,1,0,0,0,2,3.75,2,0,1,0,0,0,Matches
75,Miguel Almirón,py,FW,,Newcastle Utd,Premier League,30,1994,1.4,4,2.93,4,0,0,0,0,0,0,0.00,4,0,0,0,0,0,Matches
76,Pontus Almqvist,se,FW,MF,Parma,Serie A,25,1999,4.7,14,2.98,8,0,3,1,2,0,2,0.43,8,0,3,1,2,0,Matches
77,Marcos Alonso,es,DF,,Celta Vigo,La Liga,33,1990,12.0,11,0.92,10,1,0,0,0,0,0,0.00,10,1,0,0,0,0,Matches
78,Giorgio Altare,it,DF,,Venezia,Serie A,26,1998,5.4,4,0.75,2,0,1,0,0,1,0,0.00,2,0,1,0,0,1,Matches
79,Adrià Altimira,es,DF,FW,Leganés,La Liga,23,2001,7.6,5,0.65,3,0,1,0,1,0,1,0.13,3,0,1,0,1,0,Matches
80,Sergi Altimira,es,MF,,Betis,La Liga,23,2001,11.1,26,2.35,23,0,2,0,0,1,1,0.09,23,0,2,0,0,1,Matches
81,Edson Álvarez,mx,MF,,West Ham,Premier League,27,1997,7.8,14,1.79,12,0,1,1,0,0,0,0.00,12,0,1,1,0,0,Matches
82,Hugo Álvarez,es,MF,DF,Celta Vigo,La Liga,21,2003,13.3,32,2.41,24,0,5,3,0,0,5,0.38,24,0,5,3,0,0,Matches
83,Julián Álvarez,ar,FW,MF,Atlético Madrid,La Liga,24,2000,11.3,41,3.62,29,2,3,6,0,1,5,0.44,29,2,3,6,0,1,Matches
84,Yeray Álvarez,es,DF,,Athletic Club,La Liga,29,1995,9.0,8,0.89,6,0,0,0,0,2,1,0.11,6,0,0,0,0,2,Matches
85,Skelly Alvero,fr,MF,,Werder Bremen,Bundesliga,22,2002,1.2,1,0.87,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
86,Selim Amallah,ma,MF,FW,Valladolid,La Liga,28,1996,7.5,15,2.00,8,2,4,0,0,1,1,0.13,8,2,4,0,0,1,Matches
87,Amath,sn,FW,DF,Valladolid,La Liga,28,1996,3.3,9,2.71,7,0,1,1,0,0,1,0.30,7,0,1,1,0,0,Matches
88,Jordan Amavi,fr,DF,,Brest,Ligue 1,30,1994,8.3,11,1.33,10,0,0,1,0,0,1,0.12,10,0,0,1,0,0,Matches
89,Aurele Amenda,ch,DF,,Eint Frankfurt,Bundesliga,21,2003,0.8,2,2.54,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0,Matches
90,Kelvin Amian,fr,DF,MF,Nantes,Ligue 1,26,1998,9.9,20,2.03,14,4,0,1,1,0,0,0.00,14,4,0,1,1,0,Matches
91,Michael Amir Murillo,pa,DF,,Marseille,Ligue 1,28,1996,12.8,19,1.48,16,0,1,1,0,1,0,0.00,16,0,1,1,0,1,Matches
92,Nadiem Amiri,de,MF,,Mainz 05,Bundesliga,28,1996,12.1,51,4.23,32,14,2,2,1,0,5,0.41,32,14,2,2,1,0,Matches
93,Samuel Amo-Ameyaw,eng,FW,DF,Southampton,Premier League,18,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,1,0,0,0,1,0,Matches
94,Mathis Amougou,fr,MF,,Saint-Étienne,Ligue 1,18,2006,8.0,14,1.75,12,0,2,0,0,0,0,0.00,12,0,2,0,0,0,Matches
95,Mohamed Amoura,dz,FW,,Wolfsburg,Bundesliga,24,2000,10.7,32,2.99,20,1,2,6,2,1,9,0.84,20,1,2,6,2,1,Matches
96,Sofyan Amrabat,ma,MF,,Fiorentina,Serie A,28,1996,2.0,4,2.00,4,0,0,0,0,0,0,0.00,4,0,0,0,0,0,Matches
97,Joachim Andersen,dk,DF,,Crystal Palace,Premier League,28,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
98,Joachim Andersen,dk,DF,,Fulham,Premier League,28,1996,7.7,6,0.79,3,0,0,3,0,0,0,0.00,3,0,0,3,0,0,Matches
99,Elliot Anderson,eng,MF,FW,Nott'ham Forest,Premier League,22,2002,10.1,49,4.86,20,13,7,6,1,2,9,0.89,20,13,7,6,1,2,Matches
100,André,br,MF,,Wolves,Premier League,23,2001,8.1,14,1.73,13,0,0,0,0,1,1,0.12,13,0,0,0,0,1,Matches
101,Benjamin André,fr,MF,,Lille,Ligue 1,34,1990,12.9,23,1.78,20,0,0,1,2,0,4,0.31,20,0,0,1,2,0,Matches
102,Marcos André,br,FW,,Valladolid,La Liga,28,1996,4.8,5,1.04,4,0,0,0,1,0,0,0.00,4,0,0,0,1,0,Matches
103,Robert Andrich,de,MF,,Leverkusen,Bundesliga,30,1994,9.3,21,2.26,15,0,1,3,1,1,1,0.11,15,0,1,3,1,1,Matches
104,Angeliño,es,DF,,Roma,Serie A,27,1997,15.0,35,2.34,27,8,0,0,0,0,2,0.13,27,8,0,0,0,0,Matches
105,Lorenzo Anghelè,it,FW,,Juventus,Serie A,19,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Faustino Anjorin,eng,MF,,Empoli,Serie A,23,2001,7.4,17,2.30,14,0,2,0,0,1,4,0.54,14,0,2,0,0,1,Matches
107,Waldemar Anton,de,DF,,Dortmund,Bundesliga,28,1996,8.7,14,1.61,14,0,0,0,0,0,2,0.23,14,0,0,0,0,0,Matches
108,Michail Antonio,jm,FW,,West Ham,Premier League,34,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,14,0,1,5,1,1,Matches
109,Antoniu,es,MF,DF,Espanyol,La Liga,22,2002,1.5,6,3.86,3,0,1,0,2,0,0,0.00,3,0,1,0,2,0,Matches
110,Antony,br,FW,MF,Manchester Utd,Premier League,24,2000,0.6,3,5.09,2,0,0,0,1,0,0,0.00,2,0,0,0,1,0,Matches
111,Anuar,ma,FW,MF,Valladolid,La Liga,29,1995,5.7,6,1.05,3,0,2,0,1,0,3,0.52,3,0,2,0,1,0,Matches
112,Dennis Appiah,fr,DF,,Saint-Étienne,Ligue 1,32,1992,11.3,21,1.85,17,3,1,0,0,0,3,0.26,17,3,1,0,0,0,Matches
113,Aritz Arambarri,es,DF,,Leganés,La Liga,26,1998,2.0,1,0.51,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
114,Mauro Arambarri,uy,MF,,Getafe,La Liga,29,1995,11.7,22,1.88,15,0,1,3,1,2,1,0.09,15,0,1,3,1,2,Matches
115,Jon Aramburu,ve,DF,,Real Sociedad,La Liga,22,2002,12.3,17,1.38,15,1,1,0,0,0,1,0.08,15,1,1,0,0,0,Matches
116,Julian Araujo,mx,DF,,Bournemouth,Premier League,23,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0,Matches
117,Cameron Archer,eng,FW,,Southampton,Premier League,23,2001,9.5,10,1.06,4,0,2,3,1,0,0,0.00,4,0,2,3,1,0,Matches
118,Carlens Arcus,ht,DF,,Angers,Ligue 1,28,1996,13.0,20,1.54,18,0,1,0,0,1,0,0.00,18,0,1,0,0,1,Matches
119,Alphonse Areola,fr,GK,,West Ham,Premier League,31,1993,7.5,1,0.13,0,1,0,0,0,0,0,0.00,0,1,0,0,0,0,Matches
120,Adu Ares,es,FW,,Athletic Club,La Liga,23,2001,0.2,1,4.74,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
121,Jesús Areso,es,DF,,Osasuna,La Liga,25,1999,15.7,29,1.85,24,4,0,0,1,0,2,0.13,24,4,0,0,1,0,Matches
122,David Argüelles,es,MF,,Getafe,La Liga,22,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Joe Aribo,ng,MF,,Southampton,Premier League,28,1996,10.0,18,1.79,16,0,0,1,1,0,0,0.00,16,0,0,1,1,0,Matches
124,Adam Armstrong,eng,FW,MF,Southampton,Premier League,27,1997,9.5,13,1.37,8,1,1,3,0,0,3,0.32,8,1,1,3,0,0,Matches
125,Harrison Armstrong,eng,MF,,Everton,Premier League,17,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
126,José Arnaiz,es,FW,,Osasuna,La Liga,29,1995,0.4,2,5.45,1,0,0,0,1,0,0,0.00,1,0,0,0,1,0,Matches
127,Hákon Arnar Haraldsson,is,MF,,Lille,Ligue 1,21,2003,3.8,7,1.84,6,0,0,0,1,0,1,0.26,6,0,0,0,1,0,Matches
128,Marko Arnautović,at,FW,,Inter,Serie A,35,1989,0.8,2,2.54,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0,Matches
129,Maximilian Arnold,de,MF,,Wolfsburg,Bundesliga,30,1994,12.4,36,2.90,22,10,1,1,2,0,6,0.48,22,10,1,1,2,0,Matches
130,Jann-Fiete Arp,de,FW,,Holstein Kiel,Bundesliga,24,2000,3.8,14,3.72,7,3,1,1,2,0,1,0.27,7,3,1,1,2,0,Matches
131,Kepa Arrizabalaga,es,GK,,Bournemouth,Premier League,30,1994,11.0,2,0.18,1,1,0,0,0,0,0,0.00,1,1,0,0,0,0,Matches
132,Arthur,br,DF,,Leverkusen,Bundesliga,21,2003,2.2,1,0.46,1,0,0,0,0,0,1,0.46,1,0,0,0,0,0,Matches
133,Takuma Asano,jp,FW,,Mallorca,La Liga,30,1994,3.6,6,1.66,4,0,1,1,0,0,0,0.00,4,0,1,1,0,0,Matches
134,Raúl Asencio,es,DF,,Real Madrid,La Liga,21,2003,3.8,5,1.31,5,0,0,0,0,0,1,0.26,5,0,0,0,0,0,Matches
