Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
868,Fernando,es,GK,,Almería,La Liga,33,1990,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2
869,Fernando,br,MF,,Sevilla,La Liga,36,1987,5.1,9,8,2,4,3,5,9,55.6,4,2,0,2,7,16,9
870,Ichem Ferrah,fr,FW,,Lille,Ligue 1,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
871,Andrea Ferraris,it,MF,,Monza,Serie A,20,2003,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0
872,André Ferreira,pt,GK,,Granada,La Liga,27,1996,14.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9
873,João Ferreira,pt,DF,,Udinese,Serie A,22,2001,20.2,58,42,36,18,4,34,58,58.6,24,27,6,21,29,87,89
874,Jordan Ferri,fr,MF,,Montpellier,Ligue 1,31,1992,22.6,36,22,16,17,3,20,67,29.9,47,19,1,18,13,49,23
875,Nacho Ferri,es,FW,MF,Eint Frankfurt,Bundesliga,18,2004,0.8,3,3,1,2,0,2,3,66.7,1,0,0,0,0,3,2
876,Rachad Fettal,ma,FW,,Almería,La Liga,18,2005,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0
877,Seydou Fini,it,DF,FW,Genoa,Serie A,17,2006,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
878,Max Finkgräfe,de,DF,FW,Köln,Bundesliga,19,2004,19.5,65,39,40,25,0,39,74,52.7,35,35,10,25,22,87,39
879,Vincenzo Fiorillo,it,GK,,Salernitana,Serie A,33,1990,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
880,Kilian Fischer,de,DF,MF,Wolfsburg,Bundesliga,22,2000,3.2,8,6,4,3,1,2,5,40.0,3,8,1,7,1,9,12
881,John Fleck,sct,MF,DF,Sheffield Utd,Premier League,31,1991,1.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1
882,Mark Flekken,nl,GK,,Brentford,Premier League,30,1993,36.5,1,1,1,0,0,1,5,20.0,4,1,0,1,0,1,17
883,Alessandro Florenzi,it,DF,,Milan,Serie A,32,1991,19.2,43,21,26,12,5,26,48,54.2,22,16,9,7,20,63,25
884,Phil Foden,eng,FW,MF,Manchester City,Premier League,23,2000,31.7,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18
885,Wes Foderingham,eng,GK,,Sheffield Utd,Premier League,32,1991,29.4,5,3,5,0,0,5,6,83.3,1,0,0,0,0,5,18
886,Malick Fofana,be,FW,,Lyon,Ligue 1,18,2005,6.2,5,4,3,1,1,4,9,44.4,5,3,0,3,5,10,9
887,Youssouf Fofana,fr,MF,,Monaco,Ligue 1,24,1999,30.0,61,39,19,36,6,30,66,45.5,36,35,7,28,37,98,31
888,Jonas Föhrenbach,de,DF,,Heidenheim,Bundesliga,27,1996,31.0,44,24,24,14,6,19,36,52.8,17,34,19,15,31,75,70
889,Thomas Foket,be,DF,,Reims,Ligue 1,28,1994,20.4,32,17,21,8,3,20,45,44.4,25,34,12,22,25,57,36
890,Michael Folorunsho,it,MF,FW,Hellas Verona,Serie A,25,1998,30.9,50,28,21,22,7,23,57,40.4,34,45,12,33,17,67,44
891,Tiago Fonseca Morais,pt,FW,,Lille,Ligue 1,19,2003,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0
892,Pablo Fornals,es,MF,FW,West Ham,Premier League,27,1996,4.7,10,6,4,3,3,5,16,31.3,11,8,1,7,6,16,7
893,Pablo Fornals,es,FW,MF,Betis,La Liga,27,1996,12.8,24,16,8,11,5,12,22,54.5,10,14,0,14,22,46,10
894,Emil Forsberg,se,MF,FW,RB Leipzig,Bundesliga,31,1991,5.2,7,3,2,5,0,5,12,41.7,7,7,0,7,0,7,5
895,Omari Forson,eng,FW,,Manchester Utd,Premier League,19,2004,0.8,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0
896,Philipp Förster,de,MF,FW,Bochum,Bundesliga,28,1995,4.3,9,5,3,4,2,2,6,33.3,4,3,0,3,7,16,3
897,Héctor Fort,es,DF,,Barcelona,La Liga,16,2006,3.5,6,5,5,1,0,4,10,40.0,6,0,0,0,2,8,4
898,Lyle Foster,za,FW,MF,Burnley,Premier League,22,2000,21.1,19,10,5,6,8,6,17,35.3,11,13,3,10,3,22,34
899,Dimitri Foulquier,fr,DF,MF,Valencia,La Liga,30,1993,20.5,39,22,22,13,4,18,26,69.2,8,10,1,9,16,55,49
900,Juan Foyth,ar,DF,,Villarreal,La Liga,25,1998,11.8,26,15,18,8,0,12,27,44.4,15,17,4,13,12,38,44
901,Matheus França,br,MF,FW,Crystal Palace,Premier League,19,2004,2.6,3,3,2,1,0,1,7,14.3,6,4,0,4,1,4,1
902,Bartol Franjić,hr,MF,,Darmstadt 98,Bundesliga,23,2000,13.7,15,12,4,10,1,7,28,25.0,21,12,4,8,30,45,29
903,Przemysław Frankowski,pl,DF,,Lens,Ligue 1,28,1995,24.4,60,39,25,26,9,31,74,41.9,43,30,7,23,25,85,36
904,Nathan Fraser,ie,FW,,Wolves,Premier League,18,2005,2.1,5,2,2,1,2,1,3,33.3,2,2,1,1,1,6,2
905,Davide Frattesi,it,MF,,Inter,Serie A,23,1999,10.6,10,6,3,7,0,4,8,50.0,4,9,3,6,5,15,19
906,Morten Frendrup,dk,MF,,Genoa,Serie A,22,2001,34.9,133,72,47,70,16,55,91,60.4,36,55,14,41,51,184,42
907,Remo Freuler,ch,MF,,Bologna,Serie A,31,1992,29.2,78,50,41,32,5,38,69,55.1,31,37,9,28,36,114,53
908,Marco Friedl,at,DF,,Werder Bremen,Bundesliga,25,1998,24.4,53,32,38,15,0,36,48,75.0,12,45,29,16,35,88,129
909,Marvin Friedrich,de,DF,,Gladbach,Bundesliga,27,1995,17.4,23,15,16,6,1,12,20,60.0,8,28,20,8,17,40,87
910,Jeremie Frimpong,nl,DF,,Leverkusen,Bundesliga,22,2000,25.0,26,17,12,7,7,8,20,40.0,12,26,0,26,7,33,17
911,Jorge de Frutos,es,FW,MF,Rayo Vallecano,La Liga,26,1997,17.2,19,8,5,8,6,7,22,31.8,15,12,0,12,7,26,18
912,Chris Führich,de,FW,MF,Stuttgart,Bundesliga,25,1998,28.5,30,19,6,14,10,16,37,43.2,21,31,0,31,7,37,7
913,Shiō Fukuda,jp,FW,MF,Gladbach,Bundesliga,19,2004,0.4,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,0
914,Angelo Fulgini,fr,MF,,Lens,Ligue 1,26,1996,15.3,23,14,6,13,4,11,19,57.9,8,22,1,21,8,31,11
915,Niclas Füllkrug,de,FW,,Werder Bremen,Bundesliga,30,1993,2.0,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,1
916,Niclas Füllkrug,de,FW,,Dortmund,Bundesliga,30,1993,24.6,7,2,1,6,0,2,8,25.0,6,17,4,13,2,9,25
917,Gerardo Fusco,it,FW,,Salernitana,Serie A,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
918,Daniel Fuzato,br,GK,,Getafe,La Liga,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
919,Matteo Gabbia,it,DF,,Milan,Serie A,23,1999,14.2,29,20,15,13,1,18,24,75.0,6,11,6,5,10,39,48
920,Matteo Gabbia,it,DF,,Villarreal,La Liga,23,1999,5.3,10,6,4,6,0,5,8,62.5,3,5,2,3,8,18,36
921,Gianluca Gaetano,it,FW,MF,Cagliari,Serie A,23,2000,8.3,7,4,0,4,3,2,7,28.6,5,4,0,4,3,10,4
922,Gianluca Gaetano,it,MF,,Napoli,Serie A,23,2000,1.8,4,1,0,4,0,2,4,50.0,2,5,2,3,1,5,4
923,Roberto Gagliardini,it,MF,DF,Monza,Serie A,29,1994,26.2,61,30,27,25,9,31,50,62.0,19,30,11,19,31,92,38
924,Cody Gakpo,nl,FW,MF,Liverpool,Premier League,24,1999,18.3,27,17,8,14,5,8,25,32.0,17,21,4,17,14,41,7
925,Javi Galán,es,DF,,Atlético Madrid,La Liga,28,1994,1.0,5,4,2,2,1,4,5,80.0,1,1,0,1,1,6,3
926,Javi Galán,es,DF,,Real Sociedad,La Liga,28,1994,11.9,38,22,15,19,4,15,30,50.0,15,24,1,23,14,52,17
927,Iñigo Ruiz de Galarreta,es,MF,,Athletic Club,La Liga,29,1993,23.2,49,31,15,26,8,24,49,49.0,25,18,5,13,12,61,17
928,Pablo Galdames Millán,cl,MF,DF,Genoa,Serie A,26,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0
929,Conor Gallagher,eng,MF,,Chelsea,Premier League,23,2000,34.8,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34
930,Antonino Gallo,it,DF,,Lecce,Serie A,23,2000,27.7,43,27,31,11,1,31,49,63.3,18,34,9,25,25,68,67
931,Cristian Gamboa,cr,DF,,Bochum,Bundesliga,33,1989,13.2,24,18,12,11,1,14,33,42.4,19,20,7,13,15,39,34
932,Kévin Gameiro,fr,FW,MF,Strasbourg,Ligue 1,36,1987,15.0,10,10,5,3,2,2,17,11.8,15,9,0,9,3,13,7
933,Idrissa Gana Gueye,sn,MF,,Everton,Premier League,33,1989,20.9,73,44,32,27,14,29,46,63.0,17,24,7,17,28,101,16
934,Ignatius Ganago,cm,FW,MF,Nantes,Ligue 1,24,1999,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1
935,Aleix García,es,MF,,Girona,La Liga,26,1997,35.5,49,28,17,26,6,28,54,51.9,26,45,17,28,36,85,53
936,Álvaro García,es,FW,MF,Rayo Vallecano,La Liga,30,1992,27.5,34,25,15,10,9,7,34,20.6,27,35,0,35,36,70,33
937,Dani García,es,MF,,Athletic Club,La Liga,33,1990,8.3,17,11,4,7,6,12,24,50.0,12,9,3,6,8,25,11
938,David García,es,DF,,Osasuna,La Liga,29,1994,25.9,29,18,19,9,1,16,26,61.5,10,40,19,21,18,47,115
939,Eric García,es,DF,,Barcelona,La Liga,22,2001,0.6,0,0,0,0,0,0,0,,0,1,1,0,0,0,0
940,Eric García,es,DF,,Girona,La Liga,22,2001,29.3,55,37,34,18,3,34,49,69.4,15,36,18,18,30,85,79
941,Fran Garcia,es,DF,,Real Madrid,La Liga,23,1999,15.5,25,17,11,12,2,13,31,41.9,18,16,3,13,19,44,28
942,Gonzalo García,es,FW,MF,Real Madrid,La Liga,19,2004,0.2,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1
943,Jastin García,es,FW,,Girona,La Liga,19,2004,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,1,1
944,Raúl García,es,FW,MF,Athletic Club,La Liga,37,1986,4.7,9,6,2,4,3,4,9,44.4,5,10,1,9,3,12,9
945,Rubén García,es,FW,MF,Osasuna,La Liga,30,1993,17.2,32,18,8,17,7,13,33,39.4,20,23,3,20,12,44,23
946,Santiago García,es,FW,,Getafe,La Liga,21,2001,0.3,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0
947,Ulisses Garcia,ch,DF,,Marseille,Ligue 1,27,1996,10.1,21,16,6,13,2,13,20,65.0,7,8,3,5,7,28,13
948,Unai García,es,DF,,Osasuna,La Liga,31,1992,6.2,12,9,9,2,1,5,10,50.0,5,7,1,6,8,20,18
949,Alejandro Garnacho,ar,FW,,Manchester Utd,Premier League,19,2004,28.5,22,15,7,6,9,12,45,26.7,33,26,2,24,18,40,18
950,James Garner,eng,MF,,Everton,Premier League,22,2001,33.4,83,44,32,38,13,35,82,42.7,47,45,14,31,45,128,47
951,Luca Garritano,it,MF,DF,Frosinone,Serie A,29,1994,5.4,10,5,7,2,1,5,15,33.3,10,13,0,13,4,14,8
952,Yarek Gasiorowski,es,DF,,Valencia,La Liga,18,2005,8.2,22,12,14,5,3,13,19,68.4,6,15,8,7,15,37,50
953,Johan Gastien,fr,MF,,Clermont Foot,Ligue 1,35,1988,25.1,43,22,18,21,4,23,81,28.4,58,31,9,22,36,79,24
954,Federico Gatti,it,DF,,Juventus,Serie A,25,1998,29.3,33,19,16,16,1,19,24,79.2,5,26,15,11,19,52,90
955,Federico Gattoni,ar,DF,FW,Sevilla,La Liga,24,1999,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1
956,Gavi,es,MF,FW,Barcelona,La Liga,18,2004,10.5,39,21,20,14,5,18,36,50.0,18,19,3,16,8,47,16
957,Paulo Gazzaniga,ar,GK,,Girona,La Liga,31,1992,38.0,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,12
958,Yann Gboho,fr,MF,FW,Toulouse,Ligue 1,22,2001,13.3,14,4,6,6,2,8,23,34.8,15,21,1,20,4,18,2
959,Dennis Geiger,de,MF,,Hoffenheim,Bundesliga,25,1998,0.7,1,0,1,0,0,0,0,,0,1,1,0,0,1,0
960,Gelabert,es,MF,FW,Toulouse,Ligue 1,22,2000,8.4,14,8,5,6,3,7,20,35.0,13,8,2,6,5,19,8
961,Francesco Gelli,it,MF,DF,Frosinone,Serie A,26,1996,17.3,19,13,8,4,7,10,24,41.7,14,19,3,16,11,30,27
962,Luca Gemello,it,GK,,Torino,Serie A,23,2000,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1
963,Valentin Gendrey,fr,DF,,Lecce,Serie A,23,2000,33.8,55,33,35,16,4,30,46,65.2,16,40,11,29,35,90,99
964,Denis Genreau,au,MF,FW,Toulouse,Ligue 1,24,1999,5.2,12,9,6,6,0,8,15,53.3,7,8,1,7,6,18,8
965,Yannick Gerhardt,de,MF,DF,Wolfsburg,Bundesliga,29,1994,18.1,31,20,16,12,3,9,32,28.1,23,15,2,13,7,38,35
966,Anwar El Ghazi,nl,MF,DF,Mainz 05,Bundesliga,28,1995,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
967,Farés Ghedjemis,fr,FW,MF,Frosinone,Serie A,20,2002,2.0,2,0,1,0,1,0,2,0.0,2,2,0,2,1,3,2
968,Saman Ghoddos,ir,DF,,Brentford,Premier League,29,1993,8.2,28,19,19,7,2,17,31,54.8,14,9,2,7,5,33,12
969,Lautaro Gianetti,ar,DF,,Udinese,Serie A,29,1993,7.0,9,4,7,2,0,4,5,80.0,1,10,6,4,19,28,39
970,Morgan Gibbs-White,eng,MF,FW,Nott'ham Forest,Premier League,23,2000,35.1,36,24,6,20,10,14,33,42.4,19,31,8,23,17,53,21
971,Samuel Gigot,fr,DF,,Marseille,Ligue 1,29,1993,19.2,33,22,16,13,4,13,19,68.4,6,28,18,10,25,58,93
972,Bryan Gil,es,FW,MF,Tottenham,Premier League,22,2001,2.3,1,0,0,0,1,1,4,25.0,3,3,0,3,3,4,4
