Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
2297,Julian Ryerson,no,DF,Dortmund,Bundesliga,25,1997,19.6,1129,997,129,9,0,2,40,120,0,0,0,0,974,3,19
2298,Frederik Rønnow,dk,GK,Union Berlin,Bundesliga,30,1992,33.0,1316,1003,311,93,0,3,0,0,0,0,0,0,951,2,0
2299,José Sá,pt,GK,Wolves,Premier League,30,1993,33.7,1097,771,323,70,0,1,0,0,0,0,0,0,720,3,1
2300,Youssouf Sabaly,sn,DF,Betis,La Liga,30,1993,11.6,656,561,92,6,0,0,27,86,0,0,0,0,540,3,17
2301,Emmanuel Sabbi,us,"FW,MF",Le Havre,Ligue 1,25,1997,17.6,368,353,12,5,2,1,20,5,1,1,0,0,258,3,24
2302,Stefano Sabelli,it,DF,Genoa,it Serie A,30,1993,27.0,977,781,192,7,1,6,99,185,0,0,0,0,611,4,43
2303,Marcel Sabitzer,at,MF,Dortmund,Bundesliga,29,1994,21.8,1067,993,72,19,1,4,30,14,17,7,8,0,868,2,19
2304,Falaye Sacko,ml,DF,Montpellier,Ligue 1,28,1995,15.4,784,636,148,10,0,2,27,138,0,0,0,0,605,0,20
2305,Dominic Sadi,eng,FW,Bournemouth,Premier League,19,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Umar Sadiq,ng,FW,Real Sociedad,La Liga,26,1997,12.0,192,176,16,0,0,1,12,0,0,0,0,0,131,0,10
2307,Alexis Saelemaekers,be,"FW,MF",Bologna,it Serie A,24,1999,21.0,1008,908,92,25,5,8,86,14,50,27,21,0,786,8,36
2308,Pablo Saenz,es,MF,Granada,La Liga,22,2001,0.2,7,7,0,0,0,0,1,0,0,0,0,0,5,0,1
2309,Modibo Sagnan,ml,DF,Montpellier,Ligue 1,24,1999,11.7,517,500,15,10,0,5,1,2,0,0,0,0,442,2,6
2310,Wesley Saïd,fr,"FW,MF",Lens,Ligue 1,28,1995,11.3,268,239,27,1,2,1,15,5,0,0,0,0,193,2,3
2311,Théo Sainte-Luce,fr,DF,Montpellier,Ligue 1,24,1998,3.8,172,134,36,4,0,0,7,32,0,0,0,0,136,2,4
2312,Bukayo Saka,eng,FW,Arsenal,Premier League,21,2001,32.4,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50
2313,Mamadou Sakho,fr,DF,Montpellier,Ligue 1,33,1990,0.1,16,15,1,1,0,0,0,0,0,0,0,0,15,0,0
2314,Ibrahim Salah,ma,"FW,MF",Rennes,Ligue 1,21,2001,5.8,232,230,2,0,1,1,20,0,2,0,1,0,177,0,6
2315,Mohamed Salah,eg,FW,Liverpool,Premier League,31,1992,28.2,1010,968,28,4,18,3,41,20,0,0,0,0,737,14,42
