Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1436,Raimonds Krollis,lv,FW,DF,Spezia,Serie A,20,2001,0.4,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1
1437,Toni Kroos,de,MF,,Real Madrid,La Liga,32,1990,23.9,2482,2246,223,123,4,41,122,15,84,27,30,1,2255,13,12
1438,Rade Krunić,ba,MF,,Milan,Serie A,28,1993,18.4,955,931,24,16,2,1,3,4,3,1,1,0,819,0,19
1439,Max Kruse,de,MF,FW,Wolfsburg,Bundesliga,34,1988,3.0,121,105,16,3,1,3,6,8,2,0,0,0,90,0,8
1440,Lukas Kübler,de,DF,,Freiburg,Bundesliga,29,1992,18.2,827,701,123,8,1,2,33,115,0,0,0,0,569,3,20
1441,Takefusa Kubo,jp,FW,MF,Real Sociedad,La Liga,21,2001,27.1,875,823,42,5,3,5,72,5,29,10,12,1,621,10,35
1442,Dejan Kulusevski,se,MF,FW,Tottenham,Premier League,22,2000,23.0,746,684,61,1,5,3,62,7,23,6,3,0,582,1,26
1443,Sael Kumbedi,fr,DF,,Lyon,Ligue 1,17,2005,14.7,794,641,151,8,1,0,32,143,0,0,0,0,653,2,19
1444,Marash Kumbulla,al,DF,,Roma,Serie A,22,2000,2.9,180,176,4,4,0,2,0,0,0,0,0,0,157,0,1
1445,Pierre Kunde,cm,MF,FW,Bochum,Bundesliga,27,1995,4.2,202,179,23,7,1,5,8,14,2,2,0,0,119,0,3
1446,Alou Kuol,au,FW,,Stuttgart,Bundesliga,21,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1447,Layvin Kurzawa,fr,DF,,Fulham,Premier League,29,1992,1.5,41,29,12,0,0,0,2,12,0,0,0,0,28,0,2
1448,Khvicha Kvaratskhelia,ge,FW,,Napoli,Serie A,21,2001,28.0,1136,1083,49,9,14,15,76,18,22,8,3,0,900,4,22
1449,Grejohn Kyei,fr,FW,,Clermont Foot,Ligue 1,26,1995,24.8,527,477,45,0,1,4,7,0,0,0,0,0,376,5,16
1450,Daniel Kyereh,gh,MF,FW,Freiburg,Bundesliga,26,1996,6.2,182,176,5,1,0,0,3,0,2,0,1,0,139,1,7
1451,Giorgos Kyriakopoulos,gr,DF,FW,Bologna,Serie A,26,1996,7.8,413,352,59,12,0,0,38,37,10,9,1,0,318,2,10
1452,Giorgos Kyriakopoulos,gr,FW,DF,Sassuolo,Serie A,26,1996,8.5,391,332,56,7,0,6,39,39,10,2,5,0,300,3,9
1453,César de la Hoz,es,MF,,Almería,La Liga,30,1992,18.6,556,538,13,13,1,6,3,0,0,0,0,0,435,5,7
1454,Luca de la Torre,us,MF,,Celta Vigo,La Liga,24,1998,16.5,613,600,5,4,2,2,21,1,0,0,0,0,510,8,19
1455,Rémy Labeau Lascary,gp,FW,MF,Lens,Ligue 1,19,2003,1.4,29,29,0,0,0,0,3,0,0,0,0,0,23,0,1
1456,Gaëtan Laborde,fr,FW,,Nice,Ligue 1,28,1994,27.8,714,663,47,1,3,2,71,2,24,12,11,0,471,4,29
1457,Gaëtan Laborde,fr,FW,,Rennes,Ligue 1,28,1994,2.8,61,54,7,0,0,0,3,0,0,0,0,0,41,0,6
1458,Alexandre Lacazette,fr,FW,,Lyon,Ligue 1,31,1991,32.5,917,845,61,8,8,4,35,1,6,1,4,0,661,11,30
1459,Qazim Laçi,al,MF,,Ajaccio,Ligue 1,26,1996,2.4,142,134,8,5,0,1,8,0,3,1,2,0,111,0,2
1460,Maxence Lacroix,fr,DF,,Wolfsburg,Bundesliga,22,2000,18.1,1095,1029,64,48,1,11,3,5,0,0,0,0,952,2,6
1461,Alban Lafont,fr,GK,,Nantes,Ligue 1,23,1999,37.0,1191,840,349,102,0,9,0,0,0,0,0,0,835,2,2
1462,Aïssa Laïdouni,tn,MF,,Union Berlin,Bundesliga,25,1996,9.7,320,310,8,2,4,2,11,2,0,0,0,0,236,2,11
1463,Konrad Laimer,at,MF,,RB Leipzig,Bundesliga,25,1997,16.3,751,720,28,19,7,5,12,9,0,0,0,0,596,3,22
1464,Stefan Lainer,at,DF,,Gladbach,Bundesliga,29,1992,9.1,618,536,80,6,2,1,18,73,0,0,0,0,501,2,13
1465,Kenny Lala,mg,DF,,Brest,Ligue 1,30,1991,15.7,874,668,203,40,2,6,64,147,16,5,10,0,660,3,22
1466,Adam Lallana,eng,MF,FW,Brighton,Premier League,34,1988,8.0,317,304,11,2,0,0,3,2,1,0,0,0,262,2,5
1467,Vassilis Lambropoulos,gr,DF,,Bochum,Bundesliga,32,1990,7.0,240,230,10,5,0,1,0,5,0,0,0,0,163,0,1
1468,Érik Lamela,ar,FW,MF,Sevilla,La Liga,30,1992,20.5,770,732,30,6,1,0,33,6,15,5,3,0,588,8,33
1469,Mohamed Lamine Bayo,gn,FW,MF,Lille,Ligue 1,24,1998,7.2,129,118,11,0,0,0,2,0,0,0,0,0,81,0,4
1470,Sam Lammers,nl,FW,,Sampdoria,Serie A,25,1997,12.2,254,244,9,0,1,0,2,2,0,0,0,0,172,1,9
1471,Sam Lammers,nl,FW,,Empoli,Serie A,25,1997,9.8,230,226,3,0,0,0,4,0,0,0,0,0,143,1,8
1472,Tariq Lamptey,gh,DF,,Brighton,Premier League,21,2000,5.0,302,258,44,5,1,1,31,39,0,0,0,0,239,0,6
1473,Manuel Lanzini,ar,MF,FW,West Ham,Premier League,29,1993,2.8,175,173,2,0,0,0,2,0,0,0,0,0,146,0,5
1474,Aymeric Laporte,es,DF,,Manchester City,Premier League,28,1994,11.0,964,926,37,21,1,6,6,10,0,0,0,0,892,1,5
1475,Julien Laporte,fr,DF,,Lorient,Ligue 1,28,1993,18.4,799,779,18,12,0,10,0,2,0,0,0,0,681,2,6
1476,Cyle Larin,ca,FW,,Valladolid,La Liga,27,1995,16.3,247,241,6,0,1,2,6,0,0,0,0,0,170,0,16
1477,Juan Larios,es,DF,,Southampton,Premier League,18,2004,1.7,82,59,23,0,0,0,4,23,0,0,0,0,63,0,2
1478,Yasser Larouci,dz,DF,MF,Troyes,Ligue 1,21,2001,20.0,824,655,166,12,5,0,50,148,5,3,0,0,621,3,20
1479,Jordan Larsson,se,FW,MF,Schalke 04,Bundesliga,25,1997,5.1,117,112,5,1,0,1,2,2,2,1,1,0,87,0,5
1480,Kevin Lasagna,it,FW,MF,Hellas Verona,Serie A,29,1992,17.5,258,236,16,1,0,1,13,3,0,0,0,0,157,6,17
1481,Jamaal Lascelles,eng,DF,,Newcastle Utd,Premier League,28,1993,2.4,93,93,0,0,0,0,0,0,0,0,0,0,79,0,0
1482,Juanmi Latasa,es,FW,,Getafe,La Liga,21,2001,5.0,164,159,3,0,0,1,2,0,0,0,0,0,80,2,7
1483,Toni Lato,es,DF,MF,Valencia,La Liga,24,1997,10.2,490,417,72,10,1,3,32,50,12,2,6,0,390,1,9
1484,Danny Latza,de,MF,,Schalke 04,Bundesliga,32,1989,9.5,394,356,37,17,2,2,20,2,10,5,3,1,310,1,10
1485,Armand Lauriente,fr,FW,,Sassuolo,Serie A,23,1998,24.2,805,732,73,21,2,5,110,7,44,26,8,0,572,0,29
1486,Armand Lauriente,fr,FW,,Lorient,Ligue 1,23,1998,3.0,95,92,3,1,2,0,6,0,2,1,1,0,73,0,1
1487,Roméo Lavia,be,MF,,Southampton,Premier League,18,2004,24.7,997,985,10,5,5,9,3,1,4,0,0,2,859,2,22
1488,Lázaro,br,FW,MF,Almería,La Liga,20,2002,8.0,218,204,14,1,0,5,9,1,3,2,0,0,170,0,5
1489,Valentino Lazaro,at,DF,,Torino,Serie A,26,1996,15.3,902,693,205,22,0,1,86,142,41,14,17,1,674,4,20
1490,Marko Lazetić,rs,FW,,Milan,Serie A,18,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1491,Darko Lazović,rs,MF,DF,Hellas Verona,Serie A,31,1990,24.9,836,710,117,10,6,1,123,69,37,15,16,0,517,9,38
1492,Manuel Lazzari,it,DF,,Lazio,Serie A,28,1993,20.9,1183,987,194,17,0,2,36,177,0,0,0,0,1033,2,25
1493,Théo Le Bris,fr,MF,DF,Lorient,Ligue 1,19,2002,16.1,611,550,58,7,0,0,13,47,0,0,0,0,491,3,19
1494,Julien Le Cardinal,fr,DF,,Lens,Ligue 1,24,1997,1.8,121,102,19,0,0,0,10,19,0,0,0,0,90,0,3
1495,Jérémy Le Douaron,fr,MF,FW,Brest,Ligue 1,24,1998,23.0,390,376,9,0,1,2,32,1,0,0,0,0,264,5,19
1496,Enzo Le Fée,fr,MF,,Lorient,Ligue 1,22,2000,33.6,2118,1863,249,103,11,13,136,13,94,39,38,2,1708,6,48
1497,Vincent Le Goff,fr,DF,,Lorient,Ligue 1,32,1989,37.0,2044,1716,322,63,2,2,39,259,0,0,0,0,1702,6,36
1498,Maxime Le Marchand,fr,DF,,Strasbourg,Ligue 1,32,1989,22.4,1208,1130,76,44,0,14,11,16,0,0,0,0,958,2,12
1499,Robin Le Normand,es,DF,,Real Sociedad,La Liga,25,1996,31.1,1740,1653,85,61,2,7,1,3,0,0,0,0,1533,2,4
1500,Rafael Leão,pt,FW,MF,Milan,Serie A,23,1999,26.9,845,802,39,3,5,17,71,28,7,0,0,0,595,4,29
1501,Paolo Lebas,fr,MF,,Ajaccio,Ligue 1,19,2003,0.6,16,15,1,1,0,0,0,0,0,0,0,0,12,0,0
1502,Jean-Louis Leca,fr,GK,,Lens,Ligue 1,36,1985,1.0,39,28,11,1,0,1,0,0,0,0,0,0,32,0,0
1503,Benjamin Lecomte,fr,GK,,Espanyol,La Liga,31,1991,10.0,275,149,123,43,0,2,0,0,0,0,0,0,179,3,0
1504,Benjamin Lecomte,fr,GK,,Montpellier,Ligue 1,31,1991,19.0,643,417,223,58,0,4,0,0,0,0,0,0,411,3,0
1505,Jeremías Ledesma,ar,GK,,Cádiz,La Liga,29,1993,34.0,1114,674,435,150,0,3,0,0,0,0,0,0,585,5,0
1506,Pierre Lees-Melou,fr,MF,,Brest,Ligue 1,29,1993,30.7,1461,1398,61,55,8,37,41,5,1,1,0,0,1198,2,24
1507,Diogo Leite,pt,DF,,Union Berlin,Bundesliga,23,1999,25.0,1366,1291,71,35,0,9,4,6,0,0,0,0,1071,4,16
1508,Maxim Leitsch,de,DF,,Mainz 05,Bundesliga,24,1998,7.4,328,319,9,6,0,2,0,1,0,0,0,0,249,0,2
1509,Florian Lejeune,fr,DF,,Rayo Vallecano,La Liga,31,1991,28.5,1417,1329,82,71,1,38,9,6,4,4,0,0,1110,6,11
1510,Iñigo Lekue,es,DF,,Athletic Club,La Liga,29,1993,14.7,807,668,137,16,0,4,43,119,2,0,1,0,624,2,18
1511,Thomas Lemar,fr,MF,,Atlético Madrid,La Liga,26,1995,13.9,814,776,36,10,6,7,44,9,15,5,7,0,690,2,16
1512,Félix Lemaréchal,fr,MF,,Brest,Ligue 1,18,2003,3.2,113,103,10,4,0,0,7,1,3,3,0,0,89,0,2
1513,Dexter Lembikisa,jm,DF,,Wolves,Premier League,18,2003,0.3,13,12,1,0,0,0,1,1,0,0,0,0,10,0,2
1514,Mario Lemina,ga,MF,,Wolves,Premier League,28,1993,14.4,651,645,5,5,1,4,3,0,0,0,0,0,566,1,9
1515,Mario Lemina,ga,MF,DF,Nice,Ligue 1,28,1993,9.3,637,629,5,5,1,6,2,0,0,0,0,0,569,3,4
1516,Tim Lemperle,de,FW,MF,Köln,Bundesliga,20,2002,1.5,53,51,1,0,2,0,1,0,0,0,0,0,28,1,3
1517,Clément Lenglet,fr,DF,,Tottenham,Premier League,27,1995,22.4,1465,1431,29,22,5,20,16,6,0,0,0,0,1270,5,11
1518,Bernd Leno,de,GK,,Fulham,Premier League,30,1992,36.0,1397,1041,354,112,0,2,0,0,0,0,0,0,1110,2,0
1519,Christopher Lenz,de,DF,,Eint Frankfurt,Bundesliga,27,1994,14.3,824,645,176,32,0,5,93,101,43,20,14,0,621,3,17
1520,Donovan Léon,gf,GK,,Auxerre,Ligue 1,29,1992,2.0,79,50,29,5,0,0,0,0,0,0,0,0,38,0,0
1521,Sergio León,es,FW,,Valladolid,La Liga,33,1989,14.8,206,172,31,0,0,6,9,2,0,0,0,0,138,3,6
1522,Johann Lepenant,fr,MF,,Lyon,Ligue 1,19,2002,21.5,1301,1284,17,12,3,4,9,5,0,0,0,0,1163,0,24
1523,Mehdi Léris,dz,MF,DF,Sampdoria,Serie A,24,1998,27.3,932,879,47,5,4,6,57,41,0,0,0,0,618,6,41
1524,Jefferson Lerma,co,MF,,Bournemouth,Premier League,27,1994,36.1,1611,1551,59,46,7,7,11,11,0,0,0,0,1317,1,24
1525,Benjamin Leroy,fr,GK,,Ajaccio,Ligue 1,33,1989,31.1,875,526,343,131,0,0,0,0,0,0,0,0,533,6,0
1526,Léo Leroy,fr,MF,,Montpellier,Ligue 1,22,2000,13.2,521,509,6,5,4,9,10,0,1,0,0,0,387,6,16
1527,Alexandre Letellier,fr,GK,,Paris S-G,Ligue 1,31,1990,0.1,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0
1528,Ruan Levine,br,MF,FW,Ajaccio,Ligue 1,23,1999,0.3,14,14,0,0,0,0,0,0,0,0,0,0,13,0,1
1529,Robert Lewandowski,pl,FW,,Barcelona,La Liga,33,1988,31.6,793,767,14,4,16,5,19,0,0,0,0,0,602,12,24
1530,Jamie Leweling,de,FW,MF,Union Berlin,Bundesliga,21,2001,2.9,57,55,2,0,0,0,10,1,0,0,0,0,39,0,2
1531,Jamal Lewis,nir,DF,FW,Newcastle Utd,Premier League,24,1998,0.1,14,14,0,0,0,0,0,0,0,0,0,0,12,0,1
1532,Rico Lewis,eng,DF,MF,Manchester City,Premier League,17,2004,10.0,675,633,41,7,1,0,5,31,0,0,0,0,617,1,9
1533,Keane Lewis-Potter,eng,FW,MF,Brentford,Premier League,21,2001,3.6,86,83,3,0,1,1,8,2,0,0,0,0,49,0,3
1534,Dimitri Liénard,fr,DF,MF,Strasbourg,Ligue 1,34,1988,17.1,982,785,193,40,0,12,119,100,51,15,28,1,728,4,17
1535,Philipp Lienhart,at,DF,,Freiburg,Bundesliga,26,1996,27.8,1612,1519,90,47,3,21,1,17,0,0,0,0,1369,3,11
1536,Matthijs de Ligt,nl,DF,,Bayern Munich,Bundesliga,22,1999,26.7,2088,2038,45,38,0,15,2,6,0,0,0,0,1902,5,8
1537,Dimitris Limnios,gr,FW,,Köln,Bundesliga,24,1998,0.4,23,20,3,0,0,0,6,0,3,1,2,0,13,0,2
1538,Victor Lindelöf,se,DF,,Manchester Utd,Premier League,28,1994,15.2,930,905,25,13,2,1,1,1,0,0,0,0,866,0,1
1539,Jesper Lindstrøm,dk,MF,FW,Eint Frankfurt,Bundesliga,22,2000,18.7,514,469,42,7,4,0,46,7,24,14,6,0,325,3,24
1540,Karol Linetty,pl,MF,,Torino,Serie A,27,1995,21.0,966,913,49,32,3,10,21,1,16,5,8,0,832,4,10
1541,Jesse Lingard,eng,FW,MF,Nott'ham Forest,Premier League,29,1992,10.3,297,271,24,7,1,4,5,8,0,0,0,0,236,2,5
1542,Samuel Lino,br,FW,MF,Valencia,La Liga,22,1999,32.1,1163,1121,37,5,5,2,82,22,10,1,2,0,878,5,57
1543,Pol Lirola,es,DF,,Elche,La Liga,24,1997,7.0,325,260,65,6,0,3,32,59,0,0,0,0,240,0,11
1544,Mateusz Lis,pl,GK,,Troyes,Ligue 1,25,1997,8.3,314,202,111,33,0,0,0,0,0,0,0,0,213,1,0
1545,Marcin Listkowski,pl,MF,FW,Lecce,Serie A,24,1998,0.9,24,23,1,0,0,0,3,1,0,0,0,0,16,0,0
1546,Valentino Livramento,eng,DF,FW,Southampton,Premier League,19,2002,0.3,26,18,8,1,0,0,0,7,0,0,0,0,21,0,1
1547,Dejan Ljubicic,at,MF,FW,Köln,Bundesliga,24,1997,19.0,615,598,10,1,2,2,42,2,2,1,1,0,445,7,24
1548,Javier Llabrés,es,FW,,Mallorca,La Liga,19,2002,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
1549,Diego Llorente,es,DF,,Leeds United,Premier League,28,1993,7.2,429,417,11,10,0,4,1,0,0,0,0,0,356,1,2
1550,Diego Llorente,es,DF,,Roma,Serie A,28,1993,6.4,300,294,4,4,0,2,0,0,0,0,0,0,264,2,2
1551,Marcos Llorente,es,MF,DF,Atlético Madrid,La Liga,27,1995,18.9,816,759,53,0,1,4,44,53,0,0,0,0,660,4,26
1552,Hugo Lloris,fr,GK,,Tottenham,Premier League,35,1986,24.5,728,513,212,26,0,0,0,0,0,0,0,0,561,3,1
1553,Giovani Lo Celso,ar,MF,FW,Villarreal,La Liga,26,1996,12.5,694,643,47,8,11,17,31,7,27,17,0,0,578,4,14
1554,Stanislav Lobotka,sk,MF,,Napoli,Serie A,27,1994,34.5,2301,2252,47,33,0,14,2,2,0,0,0,0,2163,2,10
1555,Manuel Locatelli,it,MF,,Juventus,Serie A,24,1998,27.2,1362,1294,64,52,1,20,13,6,4,0,3,0,1114,4,28
1556,Luka Lochoshvili,ge,DF,,Cremonese,Serie A,24,1998,20.4,791,756,33,27,0,2,6,5,0,0,0,0,627,2,7
1557,Bradley Locko,fr,DF,,Reims,Ligue 1,20,2002,11.8,470,361,106,5,1,3,13,101,0,0,0,0,362,3,10
1558,Bradley Locko,fr,DF,,Brest,Ligue 1,20,2002,3.0,127,99,28,1,0,0,6,27,0,0,0,0,99,0,0
1559,Renan Lodi,br,DF,,Nott'ham Forest,Premier League,24,1998,24.6,877,684,189,44,0,3,75,130,15,12,2,0,583,4,29
1560,Ruben Loftus-Cheek,eng,MF,DF,Chelsea,Premier League,26,1996,17.1,907,858,44,11,1,6,19,32,0,0,0,0,782,5,20
1561,Sean Longstaff,eng,MF,,Newcastle Utd,Premier League,24,1997,28.0,1163,1118,41,7,7,6,30,4,3,0,0,0,943,4,31
1562,Ademola Lookman,ng,FW,MF,Atalanta,Serie A,24,1997,19.2,649,601,46,7,6,3,38,11,16,2,7,0,492,2,25
1563,Anthony Lopes,pt,GK,,Lyon,Ligue 1,31,1990,31.3,1026,741,280,97,0,1,0,0,0,0,0,0,792,5,0
1564,Rony Lopes,pt,MF,FW,Troyes,Ligue 1,26,1995,26.1,872,747,118,36,5,12,109,3,65,27,23,0,603,7,32
1565,David López,es,DF,,Girona,La Liga,32,1989,18.4,1203,1138,62,48,0,5,0,3,0,0,0,0,1082,3,5
1566,Diego López,es,GK,,Rayo Vallecano,La Liga,40,1981,1.1,29,21,8,0,0,0,0,0,0,0,0,0,22,0,0
1567,Diego López,es,FW,MF,Valencia,La Liga,20,2002,5.0,151,149,1,1,2,1,12,0,0,0,0,0,101,1,7
1568,Maxime Lopez,fr,MF,,Sassuolo,Serie A,24,1997,25.5,1673,1606,60,44,3,9,25,3,12,2,6,0,1471,7,14
1569,Pau López,es,GK,,Marseille,Ligue 1,27,1994,32.5,1116,870,243,71,1,3,0,0,0,0,0,0,877,3,2
1570,Unai López,es,MF,,Rayo Vallecano,La Liga,26,1995,13.9,929,835,86,44,0,18,55,7,27,10,8,1,745,8,18
1571,Dion Lopy,sn,MF,,Reims,Ligue 1,20,2002,15.3,741,727,12,10,0,11,6,1,1,0,0,0,627,2,8
1572,Anthony Losilla,fr,MF,,Bochum,Bundesliga,36,1986,30.2,962,951,8,6,4,4,10,0,0,0,0,0,650,3,20
1573,Jordan Lotomba,ch,DF,,Nice,Ligue 1,23,1998,27.3,1412,1173,237,19,2,0,48,218,0,0,0,0,1183,2,38
1574,Matteo Lovato,it,DF,,Salernitana,Serie A,22,2000,9.0,325,307,17,17,1,3,0,0,0,0,0,0,274,1,2
1575,Dejan Lovren,hr,DF,,Lyon,Ligue 1,33,1989,16.2,1096,1064,32,31,1,4,6,1,0,0,0,0,961,0,7
1576,Sandi Lovrić,si,MF,,Udinese,Serie A,24,1998,25.9,963,884,74,33,4,12,75,5,36,6,15,0,767,5,15
1577,Jamal Lowe,jm,MF,FW,Bournemouth,Premier League,28,1994,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
1578,Anthony Lozano,hn,FW,,Cádiz,La Liga,29,1993,16.0,293,283,9,0,1,1,7,1,0,0,0,0,198,1,13
1579,Hirving Lozano,mx,FW,,Napoli,Serie A,27,1995,17.8,588,579,6,0,0,3,73,5,1,0,0,0,441,3,23
1580,Pol Lozano,es,MF,,Espanyol,La Liga,22,1999,0.2,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0
1581,Jean Lucas,br,MF,,Monaco,Ligue 1,24,1998,3.2,154,152,1,1,1,2,1,0,0,0,0,0,134,1,1
1582,Jhon Lucumí,co,DF,,Bologna,Serie A,24,1998,32.2,1951,1870,78,59,3,24,1,2,0,0,0,0,1731,3,15
1583,José Luis Gayà,es,DF,,Valencia,La Liga,27,1995,30.1,1734,1344,378,51,2,13,213,285,42,9,25,0,1284,12,39
1584,José Luis Morales,es,FW,MF,Villarreal,La Liga,35,1987,13.5,258,237,18,0,2,1,13,4,0,0,0,0,181,3,14
1585,José Luis Palomino,ar,DF,,Atalanta,Serie A,32,1990,8.4,518,485,33,21,0,0,5,12,0,0,0,0,428,0,8
1586,Douglas Luiz,br,MF,,Aston Villa,Premier League,24,1998,32.5,1812,1593,216,120,6,10,106,6,89,53,13,1,1494,3,16
1587,Romelu Lukaku,be,FW,,Inter,Serie A,29,1993,18.4,404,384,18,0,5,2,24,0,0,0,0,0,277,2,19
1588,Castello Lukeba,fr,DF,,Lyon,Ligue 1,19,2002,33.2,2257,2202,49,41,1,9,3,6,0,0,0,0,2034,6,17
1589,Dodi Lukebakio,be,FW,MF,Hertha BSC,Bundesliga,24,1997,26.6,613,565,47,12,4,7,65,3,25,15,6,0,422,1,16
1590,Saša Lukić,rs,MF,,Fulham,Premier League,25,1996,4.6,218,211,7,7,0,0,2,0,0,0,0,0,192,0,0
1591,Saša Lukić,rs,MF,,Torino,Serie A,25,1996,13.3,732,692,38,29,1,6,25,5,4,0,4,0,627,2,7
1592,Andriy Lunin,ua,GK,,Real Madrid,La Liga,23,1999,7.0,227,186,41,4,0,1,0,0,0,0,0,0,205,0,1
1593,Andrey Lunyov,ru,GK,,Leverkusen,Bundesliga,30,1991,1.0,44,39,5,2,0,0,0,0,0,0,0,0,35,0,0
1594,Sebastiano Luperto,it,DF,,Empoli,Serie A,25,1996,34.8,1705,1532,171,81,1,8,2,2,0,0,0,0,1474,2,7
1595,Lyanco,br,DF,,Southampton,Premier League,25,1997,13.1,558,494,63,15,3,6,7,48,0,0,0,0,400,1,7
1596,Charalambos Lykogiannis,gr,DF,,Bologna,Serie A,28,1993,12.3,731,601,127,12,1,10,69,104,11,6,3,0,518,3,28
1597,Youssouf M'Changama,km,MF,,Auxerre,Ligue 1,31,1990,12.0,489,463,26,13,2,11,35,2,10,4,6,0,384,0,12
1598,Awer Mabil,au,MF,FW,Cádiz,La Liga,26,1995,1.8,54,48,6,3,0,0,9,1,2,1,1,0,34,0,4
1599,Alexis Mac Allister,ar,MF,,Brighton,Premier League,23,1998,32.1,1844,1785,52,35,15,11,29,5,12,7,4,0,1586,7,43
1600,Deiver Machado,co,DF,MF,Lens,Ligue 1,28,1993,24.3,875,718,156,10,0,2,60,145,1,1,0,0,719,1,26
1601,Darwin Machís,ve,FW,,Valladolid,La Liga,29,1993,6.7,208,191,12,2,1,5,37,8,1,1,0,0,137,5,13
1602,James Maddison,eng,MF,FW,Leicester City,Premier League,25,1996,27.6,1150,998,142,60,13,8,123,4,69,37,20,3,844,10,29
1603,Noni Madueke,eng,FW,,Chelsea,Premier League,20,2002,7.1,286,278,8,0,0,0,19,7,1,1,0,0,223,0,9
1604,Pablo Maffeo,es,DF,,Mallorca,La Liga,25,1997,33.1,1221,967,248,7,2,9,123,241,0,0,0,0,819,6,39
1605,Gabriel Magalhães,br,DF,,Arsenal,Premier League,24,1997,37.9,2411,2318,89,60,1,11,5,6,0,0,0,0,2155,4,19
1606,Lisandro Magallán,ar,DF,,Elche,La Liga,28,1993,10.0,391,370,19,17,0,1,1,1,0,0,0,0,325,2,3
1607,Soungoutou Magassa,fr,MF,,Monaco,Ligue 1,18,2003,0.9,34,31,2,2,0,0,0,0,0,0,0,0,27,1,0
1608,Giulio Maggiore,it,MF,,Salernitana,Serie A,24,1998,9.9,472,461,7,5,3,5,3,1,0,0,0,0,351,4,8
1609,Giangiacomo Magnani,it,DF,,Hellas Verona,Serie A,26,1995,17.0,499,485,12,8,0,6,4,4,0,0,0,0,367,2,2
1610,Hugo Magnetti,fr,MF,,Brest,Ligue 1,24,1998,18.8,762,709,50,26,0,12,20,9,1,0,1,0,634,3,18
1611,Yohann Magnin,fr,MF,,Clermont Foot,Ligue 1,25,1997,26.7,1337,1304,31,18,2,8,14,12,1,0,0,0,1121,2,25
1612,Harry Maguire,eng,DF,,Manchester Utd,Premier League,29,1993,8.5,577,564,12,11,0,9,1,1,0,0,0,0,491,1,3
1613,Jon Magunacelaya,es,MF,FW,Real Sociedad,La Liga,22,2000,0.7,16,15,1,1,0,0,2,0,0,0,0,0,8,0,1
1614,Riyad Mahrez,dz,FW,MF,Manchester City,Premier League,31,1991,21.3,1166,1028,138,36,10,7,96,37,65,26,20,1,958,0,18
1615,Arne Maier,de,MF,,Augsburg,Bundesliga,23,1999,21.8,658,588,68,21,6,2,64,11,32,13,17,0,421,2,27
1616,Mike Maignan,fr,GK,,Milan,Serie A,27,1995,22.0,814,698,112,27,0,0,0,0,0,0,0,0,674,4,0
1617,Linton Maina,de,FW,MF,Köln,Bundesliga,23,1999,24.9,684,640,43,5,1,1,87,15,18,10,5,0,474,1,47
1618,Kobbie Mainoo,eng,MF,,Manchester Utd,Premier League,17,2005,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
1619,Ainsley Maitland-Niles,eng,DF,MF,Southampton,Premier League,24,1997,15.6,713,633,77,11,2,3,20,66,0,0,0,0,565,3,12
1620,Jordan Majchrzak,pl,FW,,Roma,Serie A,17,2004,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
1621,Lovro Majer,hr,MF,FW,Rennes,Ligue 1,24,1998,18.5,976,909,60,22,6,4,67,7,31,12,11,0,758,7,45
1622,Jean-Victor Makengo,fr,MF,,Udinese,Serie A,24,1998,8.9,316,315,1,1,0,0,6,0,0,0,0,0,264,0,9
1623,Jean-Victor Makengo,fr,MF,,Lorient,Ligue 1,24,1998,11.8,540,525,12,9,2,1,1,2,0,0,0,0,475,3,5
1624,Béni Makouana,cg,FW,MF,Montpellier,Ligue 1,19,2002,2.2,38,37,0,0,0,0,6,0,0,0,0,0,15,1,3
1625,Nemanja Maksimović,rs,MF,,Getafe,La Liga,27,1995,22.8,563,531,32,12,0,0,9,0,1,0,0,0,439,0,10
1626,Tyrell Malacia,nl,DF,,Manchester Utd,Premier League,22,1999,15.5,802,670,130,11,0,5,15,117,2,2,0,0,694,2,16
1627,Lorenzo Malagrida,it,MF,DF,Sampdoria,Serie A,18,2003,1.2,42,41,0,0,0,0,2,0,0,0,0,0,31,1,1
1628,Daniel Maldini,it,FW,MF,Spezia,Serie A,20,2001,7.0,187,164,22,4,0,1,19,1,9,8,1,0,125,1,7
1629,Youssef Maleh,ma,MF,,Fiorentina,Serie A,23,1998,3.3,116,111,4,3,0,1,7,1,0,0,0,0,95,1,2
1630,Youssef Maleh,ma,MF,,Lecce,Serie A,23,1998,7.5,206,198,8,2,0,0,8,2,2,0,0,0,146,0,6
1631,Donyell Malen,nl,FW,,Dortmund,Bundesliga,23,1999,19.0,625,587,34,2,1,5,69,7,23,14,5,0,463,4,24
