Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1710,Jean Mattéo Bahoya,fr,FW,MF,Angers,Ligue 1,17,2005,3.0,82,81,1,0,0,0,2,0,1,0,0,0,69,0,2
1711,Azor Matusiwa,nl,MF,,Reims,Ligue 1,24,1998,27.6,1617,1576,33,26,1,24,4,6,0,0,0,0,1376,8,27
1712,Neal Maupay,fr,FW,,Everton,Premier League,25,1996,12.4,253,222,30,1,0,1,3,2,0,0,0,0,190,1,10
1713,Aïman Maurer,ma,MF,,Clermont Foot,Ligue 1,17,2004,5.6,125,107,17,6,1,0,19,0,11,6,3,1,87,1,7
1714,Stephy Mavididi,eng,FW,,Montpellier,Ligue 1,24,1998,14.3,318,305,12,1,1,1,10,8,0,0,0,0,236,1,12
1715,Konstantinos Mavropanos,gr,DF,,Stuttgart,Bundesliga,24,1997,25.4,1512,1339,166,59,2,49,6,107,0,0,0,0,1255,7,17
1716,Christian Mawissa,fr,DF,,Toulouse,Ligue 1,17,2005,1.1,48,41,7,1,0,0,1,6,0,0,0,0,41,0,0
1717,Philipp Max,de,DF,,Eint Frankfurt,Bundesliga,28,1993,7.7,479,358,120,14,0,0,60,80,26,18,4,0,364,1,12
1718,Eric Maxim Choupo-Moting,cm,FW,,Bayern Munich,Bundesliga,33,1989,12.4,290,273,16,0,3,1,3,0,0,0,0,0,223,1,10
1719,Luís Maximiano,pt,GK,,Lazio,Serie A,23,1999,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
1720,Keke Maximilian Topp,de,FW,,Schalke 04,Bundesliga,18,2004,0.2,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0
1721,Fernand Mayembo,cg,DF,,Ajaccio,Ligue 1,26,1996,7.9,320,308,12,11,0,1,0,0,0,0,0,0,275,0,2
1722,Borja Mayoral,es,FW,,Getafe,La Liga,25,1997,30.7,775,737,37,0,2,11,37,3,1,0,0,0,582,1,31
1723,Ibrahim Maza,dz,MF,FW,Hertha BSC,Bundesliga,16,2005,0.8,15,12,2,0,0,0,0,0,0,0,0,0,11,1,1
1724,Derek Mazou-Sacko,fr,MF,,Troyes,Ligue 1,17,2004,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
1725,Noussair Mazraoui,ma,DF,,Bayern Munich,Bundesliga,24,1997,11.9,867,751,113,11,2,1,22,102,0,0,0,0,738,3,16
1726,Pasquale Mazzocchi,it,DF,,Salernitana,Serie A,27,1995,21.8,949,726,219,13,2,6,90,185,21,2,17,0,702,4,29
1727,Kevin Mbabu,ch,DF,FW,Fulham,Premier League,27,1995,1.6,94,71,23,0,0,1,7,23,0,0,0,0,68,0,2
1728,Noah Mbamba,be,MF,,Leverkusen,Bundesliga,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729,Kylian Mbappé,fr,FW,,Paris S-G,Ligue 1,23,1998,31.3,1355,1291,59,2,8,2,47,13,17,3,0,0,1096,5,27
1730,Mamadou Mbaye,sn,DF,,Cádiz,La Liga,24,1998,8.4,294,286,5,5,0,2,0,0,0,0,0,0,219,3,6
1731,Chancel Mbemba,cd,DF,,Marseille,Ligue 1,27,1994,31.7,1742,1643,91,45,1,7,40,31,0,0,0,0,1441,8,23
1732,Bryan Mbeumo,cm,FW,,Brentford,Premier League,22,1999,32.3,991,845,139,48,7,7,156,19,71,37,12,5,655,7,42
1733,Jason Mbock,fr,MF,FW,Angers,Ligue 1,22,1999,0.3,10,6,4,0,0,0,4,1,2,2,0,0,6,0,1
1734,Jean-Manuel Mbom,de,MF,,Werder Bremen,Bundesliga,22,2000,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
1735,Nathanael Mbuku,cd,FW,MF,Reims,Ligue 1,20,2002,0.7,27,25,2,2,0,0,2,0,0,0,0,0,22,0,2
1736,Nathanael Mbuku,cd,MF,FW,Augsburg,Bundesliga,20,2002,0.4,7,7,0,0,0,0,1,0,0,0,0,0,3,0,2
1737,James McArthur,sct,MF,,Crystal Palace,Premier League,34,1987,0.6,52,49,3,3,1,0,0,0,0,0,0,0,41,0,1
1738,Alex McCarthy,eng,GK,,Southampton,Premier League,32,1989,6.0,249,178,68,16,0,1,0,0,0,0,0,0,150,3,0
1739,John McGinn,sct,MF,FW,Aston Villa,Premier League,27,1994,29.9,1028,965,56,25,11,10,50,1,25,18,0,0,805,7,20
1740,Scott McKenna,sct,DF,,Nott'ham Forest,Premier League,25,1996,17.5,727,691,32,11,0,3,2,21,0,0,0,0,569,4,2
1741,Weston McKennie,us,MF,,Leeds United,Premier League,23,1998,16.0,628,589,36,8,4,6,9,26,0,0,0,0,472,3,16
1742,Weston McKennie,us,MF,DF,Juventus,Serie A,23,1998,11.7,418,389,27,3,1,2,15,24,0,0,0,0,336,2,7
1743,Dwight McNeil,eng,FW,MF,Everton,Premier League,22,1999,27.8,987,838,142,50,3,6,194,31,61,53,4,0,656,7,49
1744,Scott McTominay,sct,MF,,Manchester Utd,Premier League,25,1996,12.9,432,426,5,3,3,3,4,1,0,0,0,0,355,1,6
1745,Gary Medel,cl,MF,DF,Bologna,Serie A,34,1987,16.4,1102,1057,45,42,1,8,4,2,0,0,0,0,986,0,7
1746,Facundo Medina,ar,DF,,Lens,Ligue 1,23,1999,30.9,2506,2358,144,115,4,20,22,22,0,0,0,0,2260,4,20
1747,Fernando Medrano,es,DF,,Celta Vigo,La Liga,22,2000,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
1748,Ben Mee,eng,DF,,Brentford,Premier League,32,1989,36.3,1761,1625,130,38,0,10,7,90,0,0,0,0,1348,6,20
1749,Bamo Meïté,ci,DF,,Lorient,Ligue 1,20,2001,16.7,936,912,24,22,0,1,0,2,0,0,0,0,838,0,7
1750,Soualiho Meïté,fr,MF,,Cremonese,Serie A,28,1994,26.3,1026,993,28,23,3,7,9,2,0,0,0,0,863,5,11
1751,Farid El Melali,dz,DF,FW,Angers,Ligue 1,25,1997,9.0,282,241,38,2,0,2,16,33,3,1,0,0,196,3,13
1752,Gonzalo Melero,es,MF,,Almería,La Liga,28,1994,20.6,755,736,17,9,1,4,2,3,0,0,0,0,652,2,15
1753,Birger Meling,no,DF,,Rennes,Ligue 1,27,1994,13.4,787,651,133,10,2,2,18,123,0,0,0,0,671,3,16
1754,Memphis,nl,FW,,Atlético Madrid,La Liga,28,1994,3.0,90,80,10,1,2,0,5,1,5,3,1,0,68,0,1
1755,Memphis,nl,FW,,Barcelona,La Liga,28,1994,1.3,66,60,6,1,1,0,4,0,4,0,2,0,53,0,1
1756,Houboulang Mendes,gw,DF,,Almería,La Liga,24,1998,9.8,335,238,96,4,0,0,31,92,0,0,0,0,239,1,9
1757,Nuno Mendes,pt,DF,,Paris S-G,Ligue 1,20,2002,17.2,932,844,86,12,2,4,30,74,0,0,0,0,793,2,32
1758,Pedro Mendes,pt,DF,,Montpellier,Ligue 1,31,1990,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
1759,Thiago Mendes,br,MF,DF,Lyon,Ligue 1,30,1992,22.9,1672,1610,57,48,6,15,6,8,0,0,0,0,1445,5,16
1760,Brais Méndez,es,MF,,Real Sociedad,La Liga,25,1997,26.7,1312,1138,169,53,7,15,125,6,103,32,49,0,1010,5,25
1761,Diego Méndez,es,MF,,Rayo Vallecano,La Liga,18,2003,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
1762,Antoine Mendy,fr,DF,,Nice,Ligue 1,18,2004,5.8,325,279,45,2,0,1,13,43,0,0,0,0,262,1,4
1763,Arial Mendy,sn,DF,,Clermont Foot,Ligue 1,27,1994,2.5,120,100,20,3,0,0,10,17,0,0,0,0,82,0,4
1764,Batista Mendy,fr,MF,DF,Angers,Ligue 1,22,2000,31.8,1432,1399,29,27,4,13,9,2,0,0,0,0,1234,4,18
1765,Edouard Mendy,sn,GK,,Chelsea,Premier League,30,1992,9.5,289,220,69,6,0,1,0,0,0,0,0,0,233,0,0
1766,Ferland Mendy,fr,DF,,Real Madrid,La Liga,27,1995,15.0,862,759,101,20,0,3,7,81,0,0,0,0,794,2,8
1767,Nampalys Mendy,sn,MF,,Leicester City,Premier League,30,1992,8.4,413,399,12,8,1,2,1,1,0,0,0,0,362,2,11
1768,Gideon Mensah,gh,DF,,Auxerre,Ligue 1,24,1998,25.1,1457,1192,260,25,2,8,67,235,0,0,0,0,1126,5,40
1769,Chris Mepham,wls,DF,,Bournemouth,Premier League,24,1997,24.4,1041,1001,37,21,0,4,0,16,0,0,0,0,870,3,7
1770,Jorge Meré,es,DF,,Cádiz,La Liga,25,1997,6.7,215,207,8,8,0,1,0,0,0,0,0,0,179,0,1
1771,Alex Meret,it,GK,,Napoli,Serie A,25,1997,34.0,931,688,243,45,0,2,0,0,0,0,0,0,818,0,0
1772,Mikel Merino,es,MF,,Real Sociedad,La Liga,26,1996,27.7,1502,1466,25,21,11,15,25,3,1,0,0,0,1145,11,32
1773,Quentin Merlin,fr,DF,,Nantes,Ligue 1,20,2002,19.9,1169,941,227,26,1,12,113,159,41,5,27,0,857,1,25
1774,Yıldırım Mert Çetin,tr,DF,,Lecce,Serie A,25,1997,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
1775,Roque Mesa,es,MF,,Valladolid,La Liga,33,1989,18.0,963,900,55,52,4,21,12,0,1,0,0,0,790,8,14
1776,Illan Meslier,fr,GK,,Leeds United,Premier League,22,2000,34.0,1039,705,331,89,0,1,0,0,0,0,0,0,664,3,2
1777,Lionel Messi,ar,FW,MF,Paris S-G,Ligue 1,35,1987,31.5,2050,1867,157,38,58,11,91,2,96,33,37,0,1641,26,63
1778,Junior Messias,br,FW,DF,Milan,Serie A,31,1991,16.6,563,532,30,4,4,2,25,24,2,0,1,0,430,1,12
1779,Amine Messoussa,fr,FW,,Lille,Ligue 1,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,Thomas Meunier,be,DF,,Dortmund,Bundesliga,30,1991,6.5,435,368,67,5,1,3,16,62,0,0,0,0,322,0,14
1781,Alexander Meyer,de,GK,,Dortmund,Bundesliga,31,1991,7.0,323,261,61,17,0,1,0,0,0,0,0,0,280,1,2
1782,Sven Michel,de,FW,MF,Union Berlin,Bundesliga,32,1990,5.5,181,176,3,0,2,0,17,1,1,0,0,0,100,2,11
1783,Alex Mighten,eng,FW,,Nott'ham Forest,Premier League,20,2002,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1784,Tommaso Milanese,it,MF,,Cremonese,Serie A,20,2002,0.3,14,11,3,1,0,0,2,0,1,0,1,0,10,0,0
1785,Nikola Milenković,rs,DF,,Fiorentina,Serie A,24,1997,23.7,1292,1245,43,38,0,10,0,5,0,0,0,0,1107,4,9
1786,Lewis Miley,eng,MF,,Newcastle Utd,Premier League,16,2006,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
1787,Arkadiusz Milik,pl,FW,,Juventus,Serie A,28,1994,17.6,450,420,26,4,2,3,6,1,0,0,0,0,346,4,9
1788,Arkadiusz Milik,pl,FW,,Marseille,Ligue 1,28,1994,1.4,37,34,3,0,0,0,0,0,0,0,0,0,28,0,1
1789,Sergej Milinković-Savić,rs,MF,,Lazio,Serie A,27,1995,33.6,1930,1882,41,25,15,22,29,16,0,0,0,0,1465,7,41
1790,Vanja Milinković-Savić,rs,GK,,Torino,Serie A,25,1997,38.0,1806,1412,380,93,0,8,0,1,0,0,0,0,1113,14,1
1791,Éder Militão,br,DF,,Real Madrid,La Liga,24,1998,30.0,1881,1756,123,52,2,40,12,25,0,0,0,0,1660,2,20
1792,Luka Milivojević,rs,MF,,Crystal Palace,Premier League,31,1991,5.7,260,248,11,8,0,2,6,1,2,2,0,0,207,1,0
1793,Luis Milla,es,MF,,Getafe,La Liga,27,1994,20.6,974,855,113,65,1,18,75,0,43,17,24,0,756,6,17
1794,Pere Milla,es,FW,MF,Elche,La Liga,29,1992,20.5,585,555,28,4,2,5,14,6,1,0,0,0,410,2,26
1795,Enzo Millot,fr,MF,,Stuttgart,Bundesliga,20,2002,9.9,396,372,22,5,2,1,23,6,6,3,3,0,311,2,10
1796,James Milner,eng,MF,DF,Liverpool,Premier League,36,1986,10.1,727,625,99,20,2,4,52,65,12,2,9,0,563,3,24
1797,Marko Milovanović,rs,FW,,Almería,La Liga,18,2003,0.2,9,8,1,0,0,0,0,0,0,0,0,0,4,0,1
